,(1+p),(1-p),(x*x),(x*y),(x+y),(x-y),(y*y),(y-x),expected_post,p,post-init,x,y
0,1.88,0.12,1,1,2,0,1,0,0.538,0.88,-0.46199999999999997,1,1
1,1.14,0.86,1,1,2,0,1,0,0.53,0.14,-0.47,1,1
2,1.84,0.16,0,0,0,0,0,0,0.498,0.84,0.498,0,0
3,1.83,0.17,1,1,2,0,1,0,0.512,0.83,-0.488,1,1
4,1.08,0.92,0,0,0,0,0,0,0.508,0.08,0.508,0,0
5,1.49,0.51,1,1,2,0,1,0,0.486,0.49,-0.514,1,1
6,1.62,0.38,0,0,0,0,0,0,0.518,0.62,0.518,0,0
7,1.38,0.62,0,0,0,0,0,0,0.502,0.38,0.502,0,0
8,1.63,0.37,1,1,2,0,1,0,0.524,0.63,-0.476,1,1
9,1.21,0.79,0,0,0,0,0,0,0.488,0.21,0.488,0,0
10,1.84,0.16,1,1,2,0,1,0,0.472,0.84,-0.528,1,1
11,1.12,0.88,1,1,2,0,1,0,0.504,0.12,-0.496,1,1
12,1.41,0.59,0,0,0,0,0,0,0.502,0.41,0.502,0,0
13,1.17,0.83,1,1,2,0,1,0,0.522,0.17,-0.478,1,1
14,1.37,0.63,0,0,0,0,0,0,0.448,0.37,0.448,0,0
15,1.07,0.93,0,0,0,0,0,0,0.488,0.07,0.488,0,0
16,1.59,0.41,0,0,0,0,0,0,0.53,0.59,0.53,0,0
17,1.64,0.36,0,0,0,0,0,0,0.494,0.64,0.494,0,0
18,1.11,0.89,1,1,2,0,1,0,0.48,0.11,-0.52,1,1
19,1.95,0.05,1,1,2,0,1,0,0.512,0.95,-0.488,1,1
20,1.05,0.95,1,1,2,0,1,0,0.52,0.05,-0.48,1,1
21,1.6,0.4,1,1,2,0,1,0,0.494,0.6,-0.506,1,1
22,1.08,0.92,0,0,0,0,0,0,0.484,0.08,0.484,0,0
23,1.75,0.25,1,1,2,0,1,0,0.496,0.75,-0.504,1,1
24,1.64,0.36,1,1,2,0,1,0,0.504,0.64,-0.496,1,1
25,1.46,0.54,1,1,2,0,1,0,0.502,0.46,-0.498,1,1
26,1.26,0.74,0,0,0,0,0,0,0.53,0.26,0.53,0,0
27,1.58,0.42,1,1,2,0,1,0,0.492,0.58,-0.508,1,1
28,1.86,0.14,1,1,2,0,1,0,0.506,0.86,-0.494,1,1
29,1.86,0.14,1,1,2,0,1,0,0.486,0.86,-0.514,1,1
30,1.4,0.6,1,1,2,0,1,0,0.504,0.4,-0.496,1,1
31,1.29,0.71,0,0,0,0,0,0,0.486,0.29,0.486,0,0
32,1.67,0.33,1,1,2,0,1,0,0.522,0.67,-0.478,1,1
33,1.39,0.61,0,0,0,0,0,0,0.476,0.39,0.476,0,0
34,1.15,0.85,1,1,2,0,1,0,0.476,0.15,-0.524,1,1
35,1.25,0.75,0,0,0,0,0,0,0.5,0.25,0.5,0,0
36,1.47,0.53,0,0,0,0,0,0,0.496,0.47,0.496,0,0
37,1.71,0.29,0,0,0,0,0,0,0.522,0.71,0.522,0,0
38,1.5,0.5,0,0,0,0,0,0,0.524,0.5,0.524,0,0
39,1.63,0.37,1,1,2,0,1,0,0.528,0.63,-0.472,1,1
40,1.67,0.33,0,0,0,0,0,0,0.486,0.67,0.486,0,0
41,1.87,0.13,1,1,2,0,1,0,0.516,0.87,-0.484,1,1
42,1.7,0.3,1,1,2,0,1,0,0.542,0.7,-0.45799999999999996,1,1
43,1.32,0.68,0,0,0,0,0,0,0.502,0.32,0.502,0,0
44,1.11,0.89,1,1,2,0,1,0,0.506,0.11,-0.494,1,1
45,1.79,0.21,1,1,2,0,1,0,0.48,0.79,-0.52,1,1
46,1.71,0.29,1,1,2,0,1,0,0.506,0.71,-0.494,1,1
47,1.25,0.75,0,0,0,0,0,0,0.526,0.25,0.526,0,0
48,1.22,0.78,1,1,2,0,1,0,0.5,0.22,-0.5,1,1
49,1.34,0.66,0,0,0,0,0,0,0.514,0.34,0.514,0,0
50,1.32,0.68,0,0,0,0,0,0,0.51,0.32,0.51,0,0
51,1.75,0.25,0,0,0,0,0,0,0.512,0.75,0.512,0,0
52,1.93,0.07,0,0,0,0,0,0,0.512,0.93,0.512,0,0
53,1.12,0.88,1,1,2,0,1,0,0.48,0.12,-0.52,1,1
54,1.83,0.17,1,1,2,0,1,0,0.494,0.83,-0.506,1,1
55,1.6,0.4,0,0,0,0,0,0,0.492,0.6,0.492,0,0
56,1.32,0.68,1,1,2,0,1,0,0.544,0.32,-0.45599999999999996,1,1
57,1.93,0.07,0,0,0,0,0,0,0.48,0.93,0.48,0,0
58,1.72,0.28,1,1,2,0,1,0,0.472,0.72,-0.528,1,1
59,1.13,0.87,1,1,2,0,1,0,0.492,0.13,-0.508,1,1
60,1.12,0.88,0,0,0,0,0,0,0.528,0.12,0.528,0,0
61,1.38,0.62,0,0,0,0,0,0,0.488,0.38,0.488,0,0
62,1.14,0.86,1,1,2,0,1,0,0.502,0.14,-0.498,1,1
63,1.34,0.66,1,1,2,0,1,0,0.51,0.34,-0.49,1,1
64,1.2,0.8,0,0,0,0,0,0,0.484,0.2,0.484,0,0
65,1.9,0.1,1,1,2,0,1,0,0.492,0.9,-0.508,1,1
66,1.31,0.69,0,0,0,0,0,0,0.476,0.31,0.476,0,0
67,1.2,0.8,1,1,2,0,1,0,0.486,0.2,-0.514,1,1
68,1.63,0.37,0,0,0,0,0,0,0.544,0.63,0.544,0,0
69,1.68,0.32,0,0,0,0,0,0,0.494,0.68,0.494,0,0
70,1.27,0.73,1,1,2,0,1,0,0.528,0.27,-0.472,1,1
71,1.2,0.8,0,0,0,0,0,0,0.49,0.2,0.49,0,0
72,1.35,0.65,0,0,0,0,0,0,0.506,0.35,0.506,0,0
73,1.22,0.78,0,0,0,0,0,0,0.466,0.22,0.466,0,0
74,1.94,0.06,0,0,0,0,0,0,0.476,0.94,0.476,0,0
75,1.83,0.17,0,0,0,0,0,0,0.514,0.83,0.514,0,0
76,1.13,0.87,0,0,0,0,0,0,0.494,0.13,0.494,0,0
77,1.58,0.42,0,0,0,0,0,0,0.44,0.58,0.44,0,0
78,1.13,0.87,1,1,2,0,1,0,0.53,0.13,-0.47,1,1
79,1.38,0.62,0,0,0,0,0,0,0.514,0.38,0.514,0,0
80,1.09,0.91,1,1,2,0,1,0,0.504,0.09,-0.496,1,1
81,1.52,0.48,1,1,2,0,1,0,0.49,0.52,-0.51,1,1
82,1.59,0.41,0,0,0,0,0,0,0.51,0.59,0.51,0,0
83,1.24,0.76,0,0,0,0,0,0,0.504,0.24,0.504,0,0
84,1.49,0.51,1,1,2,0,1,0,0.464,0.49,-0.536,1,1
85,1.8,0.2,0,0,0,0,0,0,0.516,0.8,0.516,0,0
86,1.43,0.57,0,0,0,0,0,0,0.508,0.43,0.508,0,0
87,1.83,0.17,1,1,2,0,1,0,0.49,0.83,-0.51,1,1
88,1.49,0.51,1,1,2,0,1,0,0.504,0.49,-0.496,1,1
89,1.14,0.86,1,1,2,0,1,0,0.454,0.14,-0.546,1,1
90,1.51,0.49,1,1,2,0,1,0,0.5,0.51,-0.5,1,1
91,1.8,0.2,1,1,2,0,1,0,0.532,0.8,-0.46799999999999997,1,1
92,1.82,0.18,0,0,0,0,0,0,0.5,0.82,0.5,0,0
93,1.92,0.08,0,0,0,0,0,0,0.518,0.92,0.518,0,0
94,1.76,0.24,1,1,2,0,1,0,0.504,0.76,-0.496,1,1
95,1.53,0.47,1,1,2,0,1,0,0.498,0.53,-0.502,1,1
96,1.66,0.34,0,0,0,0,0,0,0.51,0.66,0.51,0,0
97,1.82,0.18,0,0,0,0,0,0,0.5,0.82,0.5,0,0
98,1.7,0.3,1,1,2,0,1,0,0.514,0.7,-0.486,1,1
99,1.64,0.36,0,0,0,0,0,0,0.53,0.64,0.53,0,0
100,1.76,0.24,1,1,2,0,1,0,0.47,0.76,-0.53,1,1
101,1.75,0.25,1,1,2,0,1,0,0.508,0.75,-0.492,1,1
102,1.81,0.19,1,1,2,0,1,0,0.516,0.81,-0.484,1,1
103,1.62,0.38,1,1,2,0,1,0,0.476,0.62,-0.524,1,1
104,1.51,0.49,1,1,2,0,1,0,0.472,0.51,-0.528,1,1
105,1.37,0.63,1,1,2,0,1,0,0.502,0.37,-0.498,1,1
106,1.36,0.64,0,0,0,0,0,0,0.542,0.36,0.542,0,0
107,1.23,0.77,1,1,2,0,1,0,0.45,0.23,-0.55,1,1
108,1.39,0.61,0,0,0,0,0,0,0.484,0.39,0.484,0,0
109,1.42,0.58,1,1,2,0,1,0,0.5,0.42,-0.5,1,1
110,1.43,0.57,0,0,0,0,0,0,0.51,0.43,0.51,0,0
111,1.67,0.33,1,1,2,0,1,0,0.502,0.67,-0.498,1,1
112,1.26,0.74,0,0,0,0,0,0,0.482,0.26,0.482,0,0
113,1.68,0.32,1,1,2,0,1,0,0.49,0.68,-0.51,1,1
114,1.17,0.83,1,1,2,0,1,0,0.47,0.17,-0.53,1,1
115,1.89,0.11,0,0,0,0,0,0,0.486,0.89,0.486,0,0
116,1.26,0.74,0,0,0,0,0,0,0.494,0.26,0.494,0,0
117,1.11,0.89,1,1,2,0,1,0,0.508,0.11,-0.492,1,1
118,1.84,0.16,0,0,0,0,0,0,0.528,0.84,0.528,0,0
119,1.72,0.28,0,0,0,0,0,0,0.474,0.72,0.474,0,0
120,1.51,0.49,1,1,2,0,1,0,0.542,0.51,-0.45799999999999996,1,1
121,1.78,0.22,0,0,0,0,0,0,0.544,0.78,0.544,0,0
122,1.56,0.44,0,0,0,0,0,0,0.49,0.56,0.49,0,0
123,1.23,0.77,0,0,0,0,0,0,0.474,0.23,0.474,0,0
124,1.29,0.71,0,0,0,0,0,0,0.518,0.29,0.518,0,0
125,1.62,0.38,0,0,0,0,0,0,0.546,0.62,0.546,0,0
126,1.71,0.29,0,0,0,0,0,0,0.506,0.71,0.506,0,0
127,1.38,0.62,1,1,2,0,1,0,0.514,0.38,-0.486,1,1
128,1.87,0.13,0,0,0,0,0,0,0.49,0.87,0.49,0,0
129,1.32,0.68,1,1,2,0,1,0,0.506,0.32,-0.494,1,1
130,1.23,0.77,0,0,0,0,0,0,0.538,0.23,0.538,0,0
131,1.22,0.78,0,0,0,0,0,0,0.518,0.22,0.518,0,0
132,1.37,0.63,0,0,0,0,0,0,0.492,0.37,0.492,0,0
133,1.41,0.59,0,0,0,0,0,0,0.478,0.41,0.478,0,0
134,1.31,0.69,0,0,0,0,0,0,0.466,0.31,0.466,0,0
135,1.58,0.42,1,1,2,0,1,0,0.488,0.58,-0.512,1,1
136,1.45,0.55,0,0,0,0,0,0,0.5,0.45,0.5,0,0
137,1.82,0.18,1,1,2,0,1,0,0.5,0.82,-0.5,1,1
138,1.82,0.18,1,1,2,0,1,0,0.52,0.82,-0.48,1,1
139,1.13,0.87,0,0,0,0,0,0,0.516,0.13,0.516,0,0
140,1.16,0.84,0,0,0,0,0,0,0.49,0.16,0.49,0,0
141,1.29,0.71,0,0,0,0,0,0,0.506,0.29,0.506,0,0
142,1.32,0.68,0,0,0,0,0,0,0.502,0.32,0.502,0,0
143,1.94,0.06,0,0,0,0,0,0,0.52,0.94,0.52,0,0
144,1.71,0.29,0,0,0,0,0,0,0.462,0.71,0.462,0,0
145,1.12,0.88,0,0,0,0,0,0,0.546,0.12,0.546,0,0
146,1.41,0.59,0,0,0,0,0,0,0.518,0.41,0.518,0,0
147,1.57,0.43,1,1,2,0,1,0,0.484,0.57,-0.516,1,1
148,1.83,0.17,1,1,2,0,1,0,0.494,0.83,-0.506,1,1
149,1.82,0.18,1,1,2,0,1,0,0.514,0.82,-0.486,1,1
150,1.79,0.21,0,0,0,0,0,0,0.472,0.79,0.472,0,0
151,1.94,0.06,1,1,2,0,1,0,0.458,0.94,-0.542,1,1
152,1.23,0.77,0,0,0,0,0,0,0.508,0.23,0.508,0,0
153,1.87,0.13,0,0,0,0,0,0,0.538,0.87,0.538,0,0
154,1.79,0.21,0,0,0,0,0,0,0.54,0.79,0.54,0,0
155,1.62,0.38,0,0,0,0,0,0,0.486,0.62,0.486,0,0
156,1.06,0.94,0,0,0,0,0,0,0.496,0.06,0.496,0,0
157,1.63,0.37,1,1,2,0,1,0,0.48,0.63,-0.52,1,1
158,1.61,0.39,0,0,0,0,0,0,0.496,0.61,0.496,0,0
159,1.5,0.5,0,0,0,0,0,0,0.486,0.5,0.486,0,0
160,1.32,0.68,1,1,2,0,1,0,0.53,0.32,-0.47,1,1
161,1.12,0.88,1,1,2,0,1,0,0.48,0.12,-0.52,1,1
162,1.22,0.78,1,1,2,0,1,0,0.514,0.22,-0.486,1,1
163,1.71,0.29,1,1,2,0,1,0,0.492,0.71,-0.508,1,1
164,1.79,0.21,1,1,2,0,1,0,0.5,0.79,-0.5,1,1
165,1.4,0.6,0,0,0,0,0,0,0.534,0.4,0.534,0,0
166,1.85,0.15,0,0,0,0,0,0,0.478,0.85,0.478,0,0
167,1.49,0.51,0,0,0,0,0,0,0.48,0.49,0.48,0,0
168,1.31,0.69,1,1,2,0,1,0,0.504,0.31,-0.496,1,1
169,1.84,0.16,1,1,2,0,1,0,0.506,0.84,-0.494,1,1
170,1.78,0.22,0,0,0,0,0,0,0.458,0.78,0.458,0,0
171,1.2,0.8,0,0,0,0,0,0,0.488,0.2,0.488,0,0
172,1.93,0.07,0,0,0,0,0,0,0.48,0.93,0.48,0,0
173,1.8,0.2,0,0,0,0,0,0,0.508,0.8,0.508,0,0
174,1.17,0.83,0,0,0,0,0,0,0.466,0.17,0.466,0,0
175,1.55,0.45,0,0,0,0,0,0,0.49,0.55,0.49,0,0
176,1.29,0.71,1,1,2,0,1,0,0.508,0.29,-0.492,1,1
177,1.67,0.33,1,1,2,0,1,0,0.49,0.67,-0.51,1,1
178,1.26,0.74,1,1,2,0,1,0,0.51,0.26,-0.49,1,1
179,1.61,0.39,0,0,0,0,0,0,0.466,0.61,0.466,0,0
180,1.11,0.89,1,1,2,0,1,0,0.518,0.11,-0.482,1,1
181,1.58,0.42,1,1,2,0,1,0,0.466,0.58,-0.534,1,1
182,1.69,0.31,1,1,2,0,1,0,0.492,0.69,-0.508,1,1
183,1.37,0.63,1,1,2,0,1,0,0.492,0.37,-0.508,1,1
184,1.11,0.89,1,1,2,0,1,0,0.522,0.11,-0.478,1,1
185,1.89,0.11,0,0,0,0,0,0,0.492,0.89,0.492,0,0
186,1.1,0.9,0,0,0,0,0,0,0.492,0.1,0.492,0,0
187,1.12,0.88,1,1,2,0,1,0,0.504,0.12,-0.496,1,1
188,1.6,0.4,1,1,2,0,1,0,0.494,0.6,-0.506,1,1
189,1.53,0.47,1,1,2,0,1,0,0.474,0.53,-0.526,1,1
190,1.19,0.81,0,0,0,0,0,0,0.486,0.19,0.486,0,0
191,1.66,0.34,1,1,2,0,1,0,0.494,0.66,-0.506,1,1
192,1.09,0.91,0,0,0,0,0,0,0.516,0.09,0.516,0,0
193,1.47,0.53,0,0,0,0,0,0,0.486,0.47,0.486,0,0
194,1.89,0.11,1,1,2,0,1,0,0.486,0.89,-0.514,1,1
195,1.24,0.76,0,0,0,0,0,0,0.506,0.24,0.506,0,0
196,1.4,0.6,1,1,2,0,1,0,0.514,0.4,-0.486,1,1
197,1.43,0.57,0,0,0,0,0,0,0.524,0.43,0.524,0,0
198,1.95,0.05,0,0,0,0,0,0,0.506,0.95,0.506,0,0
199,1.45,0.55,1,1,2,0,1,0,0.476,0.45,-0.524,1,1
200,1.78,0.22,0,0,0,0,0,0,0.508,0.78,0.508,0,0
201,1.42,0.58,0,0,0,0,0,0,0.496,0.42,0.496,0,0
202,1.21,0.79,0,0,0,0,0,0,0.45,0.21,0.45,0,0
203,1.25,0.75,1,1,2,0,1,0,0.498,0.25,-0.502,1,1
204,1.79,0.21,0,0,0,0,0,0,0.48,0.79,0.48,0,0
205,1.66,0.34,0,0,0,0,0,0,0.49,0.66,0.49,0,0
206,1.78,0.22,1,1,2,0,1,0,0.502,0.78,-0.498,1,1
207,1.06,0.94,1,1,2,0,1,0,0.486,0.06,-0.514,1,1
208,1.75,0.25,0,0,0,0,0,0,0.49,0.75,0.49,0,0
209,1.25,0.75,1,1,2,0,1,0,0.488,0.25,-0.512,1,1
210,1.39,0.61,1,1,2,0,1,0,0.514,0.39,-0.486,1,1
211,1.83,0.17,0,0,0,0,0,0,0.512,0.83,0.512,0,0
212,1.52,0.48,1,1,2,0,1,0,0.552,0.52,-0.44799999999999995,1,1
213,1.86,0.14,0,0,0,0,0,0,0.522,0.86,0.522,0,0
214,1.86,0.14,1,1,2,0,1,0,0.508,0.86,-0.492,1,1
215,1.66,0.34,1,1,2,0,1,0,0.492,0.66,-0.508,1,1
216,1.33,0.67,1,1,2,0,1,0,0.468,0.33,-0.532,1,1
217,1.07,0.93,1,1,2,0,1,0,0.518,0.07,-0.482,1,1
218,1.54,0.46,1,1,2,0,1,0,0.456,0.54,-0.544,1,1
219,1.8,0.2,0,0,0,0,0,0,0.516,0.8,0.516,0,0
220,1.09,0.91,1,1,2,0,1,0,0.522,0.09,-0.478,1,1
221,1.53,0.47,1,1,2,0,1,0,0.488,0.53,-0.512,1,1
222,1.07,0.93,0,0,0,0,0,0,0.51,0.07,0.51,0,0
223,1.38,0.62,0,0,0,0,0,0,0.474,0.38,0.474,0,0
224,1.87,0.13,1,1,2,0,1,0,0.49,0.87,-0.51,1,1
225,1.71,0.29,1,1,2,0,1,0,0.486,0.71,-0.514,1,1
226,1.2,0.8,1,1,2,0,1,0,0.508,0.2,-0.492,1,1
227,1.66,0.34,0,0,0,0,0,0,0.536,0.66,0.536,0,0
228,1.71,0.29,0,0,0,0,0,0,0.494,0.71,0.494,0,0
229,1.82,0.18,0,0,0,0,0,0,0.474,0.82,0.474,0,0
230,1.78,0.22,0,0,0,0,0,0,0.502,0.78,0.502,0,0
231,1.62,0.38,0,0,0,0,0,0,0.534,0.62,0.534,0,0
232,1.75,0.25,1,1,2,0,1,0,0.512,0.75,-0.488,1,1
233,1.51,0.49,0,0,0,0,0,0,0.53,0.51,0.53,0,0
234,1.87,0.13,1,1,2,0,1,0,0.49,0.87,-0.51,1,1
235,1.91,0.09,1,1,2,0,1,0,0.496,0.91,-0.504,1,1
236,1.34,0.66,0,0,0,0,0,0,0.514,0.34,0.514,0,0
237,1.56,0.44,1,1,2,0,1,0,0.462,0.56,-0.538,1,1
238,1.82,0.18,1,1,2,0,1,0,0.498,0.82,-0.502,1,1
239,1.77,0.23,0,0,0,0,0,0,0.472,0.77,0.472,0,0
240,1.18,0.82,0,0,0,0,0,0,0.474,0.18,0.474,0,0
241,1.36,0.64,1,1,2,0,1,0,0.496,0.36,-0.504,1,1
242,1.42,0.58,0,0,0,0,0,0,0.482,0.42,0.482,0,0
243,1.73,0.27,1,1,2,0,1,0,0.534,0.73,-0.46599999999999997,1,1
244,1.52,0.48,0,0,0,0,0,0,0.526,0.52,0.526,0,0
245,1.27,0.73,1,1,2,0,1,0,0.504,0.27,-0.496,1,1
246,1.39,0.61,1,1,2,0,1,0,0.488,0.39,-0.512,1,1
247,1.78,0.22,0,0,0,0,0,0,0.492,0.78,0.492,0,0
248,1.7,0.3,1,1,2,0,1,0,0.46,0.7,-0.54,1,1
249,1.1,0.9,1,1,2,0,1,0,0.524,0.1,-0.476,1,1
250,1.87,0.13,0,0,0,0,0,0,0.514,0.87,0.514,0,0
251,1.49,0.51,0,0,0,0,0,0,0.538,0.49,0.538,0,0
