,(count*count),(count*x),(count+x),(count-x),(x*x),(x-count),count,expected_post,post-init,x
0,169,117,22,4,81,-4,13,15.0,2.0,9
1,4,20,12,-8,100,8,2,3.0,1.0,10
2,169,117,22,4,81,-4,13,15.0,2.0,9
3,144,60,17,7,25,-7,12,18.0,6.0,5
4,121,22,13,9,4,-9,11,20.0,9.0,2
5,121,110,21,1,100,-1,11,12.0,1.0,10
6,324,144,26,10,64,-10,18,21.0,3.0,8
7,324,90,23,13,25,-13,18,24.0,6.0,5
8,256,0,16,16,0,-16,16,27.0,11.0,0
9,144,24,14,10,4,-10,12,21.0,9.0,2
10,64,8,9,7,1,-7,8,18.0,10.0,1
11,64,48,14,2,36,-2,8,13.0,5.0,6
12,400,200,30,10,100,-10,20,21.0,1.0,10
13,81,63,16,2,49,-2,9,13.0,4.0,7
14,400,140,27,13,49,-13,20,24.0,4.0,7
15,1,5,6,-4,25,4,1,7.0,6.0,5
16,9,24,11,-5,64,5,3,6.0,3.0,8
17,64,40,13,3,25,-3,8,14.0,6.0,5
18,4,4,4,0,4,0,2,11.0,9.0,2
19,0,0,10,-10,100,10,0,1.0,1.0,10
20,4,0,2,2,0,-2,2,13.0,11.0,0
21,169,104,21,5,64,-5,13,16.0,3.0,8
22,4,18,11,-7,81,7,2,4.0,2.0,9
23,100,90,19,1,81,-1,10,12.0,2.0,9
24,4,0,2,2,0,-2,2,13.0,11.0,0
25,256,48,19,13,9,-13,16,24.0,8.0,3
26,81,0,9,9,0,-9,9,20.0,11.0,0
27,81,27,12,6,9,-6,9,17.0,8.0,3
28,1,8,9,-7,64,7,1,4.0,3.0,8
29,256,48,19,13,9,-13,16,24.0,8.0,3
30,169,78,19,7,36,-7,13,18.0,5.0,6
31,25,20,9,1,16,-1,5,12.0,7.0,4
32,0,0,2,-2,4,2,0,9.0,9.0,2
33,196,56,18,10,16,-10,14,21.0,7.0,4
34,324,126,25,11,49,-11,18,22.0,4.0,7
35,144,48,16,8,16,-8,12,19.0,7.0,4
36,9,18,9,-3,36,3,3,8.0,5.0,6
37,400,200,30,10,100,-10,20,21.0,1.0,10
38,49,63,16,-2,81,2,7,9.0,2.0,9
39,0,0,0,0,0,0,0,11.0,11.0,0
40,196,28,16,12,4,-12,14,23.0,9.0,2
41,100,90,19,1,81,-1,10,12.0,2.0,9
42,400,140,27,13,49,-13,20,24.0,4.0,7
43,361,133,26,12,49,-12,19,23.0,4.0,7
44,0,0,7,-7,49,7,0,4.0,4.0,7
45,361,19,20,18,1,-18,19,29.0,10.0,1
46,169,26,15,11,4,-11,13,22.0,9.0,2
47,225,120,23,7,64,-7,15,18.0,3.0,8
48,16,0,4,4,0,-4,4,15.0,11.0,0
49,25,35,12,-2,49,2,5,9.0,4.0,7
50,225,75,20,10,25,-10,15,21.0,6.0,5
51,361,133,26,12,49,-12,19,23.0,4.0,7
52,169,26,15,11,4,-11,13,22.0,9.0,2
53,169,104,21,5,64,-5,13,16.0,3.0,8
54,289,102,23,11,36,-11,17,22.0,5.0,6
55,0,0,0,0,0,0,0,11.0,11.0,0
56,9,6,5,1,4,-1,3,12.0,9.0,2
57,324,108,24,12,36,-12,18,23.0,5.0,6
58,256,16,17,15,1,-15,16,26.0,10.0,1
59,289,102,23,11,36,-11,17,22.0,5.0,6
60,0,0,3,-3,9,3,0,8.0,8.0,3
61,9,0,3,3,0,-3,3,14.0,11.0,0
62,100,60,16,4,36,-4,10,15.0,5.0,6
63,256,0,16,16,0,-16,16,27.0,11.0,0
64,9,30,13,-7,100,7,3,4.0,1.0,10
65,1,8,9,-7,64,7,1,4.0,3.0,8
66,121,0,11,11,0,-11,11,22.0,11.0,0
67,9,0,3,3,0,-3,3,14.0,11.0,0
68,4,6,5,-1,9,1,2,10.0,8.0,3
69,144,108,21,3,81,-3,12,14.0,2.0,9
70,169,78,19,7,36,-7,13,18.0,5.0,6
71,361,171,28,10,81,-10,19,21.0,2.0,9
72,49,0,7,7,0,-7,7,18.0,11.0,0
73,400,200,30,10,100,-10,20,21.0,1.0,10
74,4,16,10,-6,64,6,2,5.0,3.0,8
75,144,84,19,5,49,-5,12,16.0,4.0,7
76,144,96,20,4,64,-4,12,15.0,3.0,8
77,64,16,10,6,4,-6,8,17.0,9.0,2
78,196,42,17,11,9,-11,14,22.0,8.0,3
79,81,27,12,6,9,-6,9,17.0,8.0,3
80,36,0,6,6,0,-6,6,17.0,11.0,0
81,0,0,10,-10,100,10,0,1.0,1.0,10
82,1,7,8,-6,49,6,1,5.0,4.0,7
83,49,35,12,2,25,-2,7,13.0,6.0,5
84,361,38,21,17,4,-17,19,28.0,9.0,2
85,144,84,19,5,49,-5,12,16.0,4.0,7
86,81,27,12,6,9,-6,9,17.0,8.0,3
87,25,35,12,-2,49,2,5,9.0,4.0,7
88,0,0,4,-4,16,4,0,7.0,7.0,4
89,36,0,6,6,0,-6,6,17.0,11.0,0
90,169,91,20,6,49,-6,13,17.0,4.0,7
91,49,70,17,-3,100,3,7,8.0,1.0,10
92,25,35,12,-2,49,2,5,9.0,4.0,7
93,16,24,10,-2,36,2,4,9.0,5.0,6
94,1,5,6,-4,25,4,1,7.0,6.0,5
95,400,140,27,13,49,-13,20,24.0,4.0,7
96,121,55,16,6,25,-6,11,17.0,6.0,5
97,49,63,16,-2,81,2,7,9.0,2.0,9
98,324,180,28,8,100,-8,18,19.0,1.0,10
99,289,136,25,9,64,-9,17,20.0,3.0,8
100,1,10,11,-9,100,9,1,2.0,1.0,10
101,100,80,18,2,64,-2,10,13.0,3.0,8
102,36,30,11,1,25,-1,6,12.0,6.0,5
103,169,78,19,7,36,-7,13,18.0,5.0,6
104,289,153,26,8,81,-8,17,19.0,2.0,9
105,9,18,9,-3,36,3,3,8.0,5.0,6
106,196,42,17,11,9,-11,14,22.0,8.0,3
107,81,18,11,7,4,-7,9,18.0,9.0,2
108,225,150,25,5,100,-5,15,16.0,1.0,10
109,361,57,22,16,9,-16,19,27.0,8.0,3
110,169,117,22,4,81,-4,13,15.0,2.0,9
111,324,0,18,18,0,-18,18,29.0,11.0,0
112,324,90,23,13,25,-13,18,24.0,6.0,5
113,0,0,4,-4,16,4,0,7.0,7.0,4
114,400,140,27,13,49,-13,20,24.0,4.0,7
115,0,0,1,-1,1,1,0,10.0,10.0,1
116,0,0,8,-8,64,8,0,3.0,3.0,8
117,36,60,16,-4,100,4,6,7.0,1.0,10
118,400,200,30,10,100,-10,20,21.0,1.0,10
119,225,135,24,6,81,-6,15,17.0,2.0,9
120,64,48,14,2,36,-2,8,13.0,5.0,6
121,225,45,18,12,9,-12,15,23.0,8.0,3
122,400,160,28,12,64,-12,20,23.0,3.0,8
123,361,152,27,11,64,-11,19,22.0,3.0,8
124,196,70,19,9,25,-9,14,20.0,6.0,5
125,324,0,18,18,0,-18,18,29.0,11.0,0
126,49,14,9,5,4,-5,7,16.0,9.0,2
127,81,45,14,4,25,-4,9,15.0,6.0,5
128,361,133,26,12,49,-12,19,23.0,4.0,7
129,225,0,15,15,0,-15,15,26.0,11.0,0
130,256,48,19,13,9,-13,16,24.0,8.0,3
131,121,0,11,11,0,-11,11,22.0,11.0,0
132,196,112,22,6,64,-6,14,17.0,3.0,8
133,4,12,8,-4,36,4,2,7.0,5.0,6
134,16,28,11,-3,49,3,4,8.0,4.0,7
135,0,0,2,-2,4,2,0,9.0,9.0,2
136,1,5,6,-4,25,4,1,7.0,6.0,5
137,9,27,12,-6,81,6,3,5.0,2.0,9
138,121,110,21,1,100,-1,11,12.0,1.0,10
139,100,20,12,8,4,-8,10,19.0,9.0,2
140,169,78,19,7,36,-7,13,18.0,5.0,6
141,16,16,8,0,16,0,4,11.0,7.0,4
142,25,40,13,-3,64,3,5,8.0,3.0,8
143,64,8,9,7,1,-7,8,18.0,10.0,1
144,144,48,16,8,16,-8,12,19.0,7.0,4
145,289,153,26,8,81,-8,17,19.0,2.0,9
146,400,80,24,16,16,-16,20,27.0,7.0,4
147,16,12,7,1,9,-1,4,12.0,8.0,3
148,324,144,26,10,64,-10,18,21.0,3.0,8
149,144,60,17,7,25,-7,12,18.0,6.0,5
150,144,96,20,4,64,-4,12,15.0,3.0,8
151,169,52,17,9,16,-9,13,20.0,7.0,4
152,9,9,6,0,9,0,3,11.0,8.0,3
153,25,35,12,-2,49,2,5,9.0,4.0,7
154,1,7,8,-6,49,6,1,5.0,4.0,7
155,361,133,26,12,49,-12,19,23.0,4.0,7
156,4,18,11,-7,81,7,2,4.0,2.0,9
157,144,12,13,11,1,-11,12,22.0,10.0,1
158,256,48,19,13,9,-13,16,24.0,8.0,3
159,16,4,5,3,1,-3,4,14.0,10.0,1
160,289,34,19,15,4,-15,17,26.0,9.0,2
161,1,0,1,1,0,-1,1,12.0,11.0,0
162,16,12,7,1,9,-1,4,12.0,8.0,3
163,4,2,3,1,1,-1,2,12.0,10.0,1
164,289,136,25,9,64,-9,17,20.0,3.0,8
165,49,56,15,-1,64,1,7,10.0,3.0,8
166,256,144,25,7,81,-7,16,18.0,2.0,9
167,16,24,10,-2,36,2,4,9.0,5.0,6
168,25,20,9,1,16,-1,5,12.0,7.0,4
169,121,33,14,8,9,-8,11,19.0,8.0,3
170,169,13,14,12,1,-12,13,23.0,10.0,1
171,225,15,16,14,1,-14,15,25.0,10.0,1
172,400,60,23,17,9,-17,20,28.0,8.0,3
173,169,78,19,7,36,-7,13,18.0,5.0,6
174,9,21,10,-4,49,4,3,7.0,4.0,7
175,0,0,5,-5,25,5,0,6.0,6.0,5
176,36,42,13,-1,49,1,6,10.0,4.0,7
177,100,0,10,10,0,-10,10,21.0,11.0,0
178,0,0,1,-1,1,1,0,10.0,10.0,1
179,121,110,21,1,100,-1,11,12.0,1.0,10
180,196,28,16,12,4,-12,14,23.0,9.0,2
181,144,60,17,7,25,-7,12,18.0,6.0,5
182,1,3,4,-2,9,2,1,9.0,8.0,3
183,225,60,19,11,16,-11,15,22.0,7.0,4
184,256,80,21,11,25,-11,16,22.0,6.0,5
185,81,9,10,8,1,-8,9,19.0,10.0,1
186,9,9,6,0,9,0,3,11.0,8.0,3
187,25,20,9,1,16,-1,5,12.0,7.0,4
188,256,144,25,7,81,-7,16,18.0,2.0,9
189,25,25,10,0,25,0,5,11.0,6.0,5
190,121,44,15,7,16,-7,11,18.0,7.0,4
191,100,50,15,5,25,-5,10,16.0,6.0,5
192,225,15,16,14,1,-14,15,25.0,10.0,1
193,4,10,7,-3,25,3,2,8.0,6.0,5
194,0,0,5,-5,25,5,0,6.0,6.0,5
195,289,170,27,7,100,-7,17,18.0,1.0,10
196,196,42,17,11,9,-11,14,22.0,8.0,3
197,0,0,6,-6,36,6,0,5.0,5.0,6
198,36,42,13,-1,49,1,6,10.0,4.0,7
199,100,90,19,1,81,-1,10,12.0,2.0,9
200,1,9,10,-8,81,8,1,3.0,2.0,9
201,1,9,10,-8,81,8,1,3.0,2.0,9
202,100,0,10,10,0,-10,10,21.0,11.0,0
203,121,88,19,3,64,-3,11,14.0,3.0,8
204,49,42,13,1,36,-1,7,12.0,5.0,6
205,361,0,19,19,0,-19,19,30.0,11.0,0
206,400,40,22,18,4,-18,20,29.0,9.0,2
207,1,8,9,-7,64,7,1,4.0,3.0,8
208,64,0,8,8,0,-8,8,19.0,11.0,0
209,64,64,16,0,64,0,8,11.0,3.0,8
210,1,3,4,-2,9,2,1,9.0,8.0,3
211,256,144,25,7,81,-7,16,18.0,2.0,9
212,196,84,20,8,36,-8,14,19.0,5.0,6
213,169,78,19,7,36,-7,13,18.0,5.0,6
214,144,48,16,8,16,-8,12,19.0,7.0,4
215,25,15,8,2,9,-2,5,13.0,8.0,3
216,81,81,18,0,81,0,9,11.0,2.0,9
217,196,0,14,14,0,-14,14,25.0,11.0,0
218,324,0,18,18,0,-18,18,29.0,11.0,0
219,64,56,15,1,49,-1,8,12.0,4.0,7
220,16,0,4,4,0,-4,4,15.0,11.0,0
221,169,52,17,9,16,-9,13,20.0,7.0,4
222,225,75,20,10,25,-10,15,21.0,6.0,5
223,0,0,1,-1,1,1,0,10.0,10.0,1
224,36,18,9,3,9,-3,6,14.0,8.0,3
225,0,0,1,-1,1,1,0,10.0,10.0,1
226,256,48,19,13,9,-13,16,24.0,8.0,3
227,100,80,18,2,64,-2,10,13.0,3.0,8
228,361,114,25,13,36,-13,19,24.0,5.0,6
229,25,50,15,-5,100,5,5,6.0,1.0,10
230,9,27,12,-6,81,6,3,5.0,2.0,9
231,49,56,15,-1,64,1,7,10.0,3.0,8
232,169,91,20,6,49,-6,13,17.0,4.0,7
233,400,120,26,14,36,-14,20,25.0,5.0,6
234,324,90,23,13,25,-13,18,24.0,6.0,5
235,100,20,12,8,4,-8,10,19.0,9.0,2
236,64,40,13,3,25,-3,8,14.0,6.0,5
237,121,44,15,7,16,-7,11,18.0,7.0,4
238,36,48,14,-2,64,2,6,9.0,3.0,8
239,81,72,17,1,64,-1,9,12.0,3.0,8
240,36,18,9,3,9,-3,6,14.0,8.0,3
241,9,21,10,-4,49,4,3,7.0,4.0,7
242,256,32,18,14,4,-14,16,25.0,9.0,2
243,64,48,14,2,36,-2,8,13.0,5.0,6
244,4,6,5,-1,9,1,2,10.0,8.0,3
245,400,160,28,12,64,-12,20,23.0,3.0,8
246,225,30,17,13,4,-13,15,24.0,9.0,2
247,4,14,9,-5,49,5,2,6.0,4.0,7
248,16,28,11,-3,49,3,4,8.0,4.0,7
249,36,6,7,5,1,-5,6,16.0,10.0,1
250,4,2,3,1,1,-1,2,12.0,10.0,1
251,0,0,2,-2,4,2,0,9.0,9.0,2
252,144,0,12,12,0,-12,12,23.0,11.0,0
253,121,55,16,6,25,-6,11,17.0,6.0,5
254,25,10,7,3,4,-3,5,14.0,9.0,2
255,49,0,7,7,0,-7,7,18.0,11.0,0
256,361,95,24,14,25,-14,19,25.0,6.0,5
257,400,20,21,19,1,-19,20,30.0,10.0,1
258,81,9,10,8,1,-8,9,19.0,10.0,1
259,256,144,25,7,81,-7,16,18.0,2.0,9
260,196,42,17,11,9,-11,14,22.0,8.0,3
261,100,70,17,3,49,-3,10,14.0,4.0,7
262,256,0,16,16,0,-16,16,27.0,11.0,0
263,225,105,22,8,49,-8,15,19.0,4.0,7
264,64,56,15,1,49,-1,8,12.0,4.0,7
265,256,80,21,11,25,-11,16,22.0,6.0,5
266,9,30,13,-7,100,7,3,4.0,1.0,10
267,121,66,17,5,36,-5,11,16.0,5.0,6
268,16,24,10,-2,36,2,4,9.0,5.0,6
269,400,160,28,12,64,-12,20,23.0,3.0,8
270,289,17,18,16,1,-16,17,27.0,10.0,1
271,0,0,6,-6,36,6,0,5.0,5.0,6
272,16,24,10,-2,36,2,4,9.0,5.0,6
273,81,72,17,1,64,-1,9,12.0,3.0,8
274,225,150,25,5,100,-5,15,16.0,1.0,10
275,0,0,2,-2,4,2,0,9.0,9.0,2
276,256,96,22,10,36,-10,16,21.0,5.0,6
277,196,56,18,10,16,-10,14,21.0,7.0,4
278,0,0,0,0,0,0,0,11.0,11.0,0
279,4,10,7,-3,25,3,2,8.0,6.0,5
280,324,54,21,15,9,-15,18,26.0,8.0,3
