,((p1+p2)-p1*p2),(1+p1),(1+p2),(1-p1),(1-p2),(c*c),(c*t),(c+t),(c-t),(p1 + p2 - p1 * p2*p1 + p2 - p1 * p2),(p1*p2),(p1+p2),(t*t),(t-c),c,expected_post,p1,p1 + p2 - p1 * p2,p2,post-init,t
0,0.58,1.16,1.5,0.84,0.5,1,0,1,1,1.07,0.08,0.66,0,-1,1,0.128,0.16,0.58,0.5,0.128,0
1,0.82,1.21,1.77,0.79,0.23,1,0,1,1,1.55,0.16,0.98,0,-1,1,0.072,0.21,0.82,0.77,0.072,0
2,0.75,1.49,1.51,0.51,0.49,1,0,1,1,1.14,0.25,1.0,0,-1,1,0.32,0.49,0.75,0.51,0.32,0
3,0.71,1.26,1.61,0.74,0.39,1,0,1,1,1.28,0.16,0.87,0,-1,1,0.16,0.26,0.71,0.61,0.16,0
4,0.83,1.31,1.75,0.69,0.25,1,1,2,0,1.51,0.23,1.06,1,0,1,0.386,0.31,0.83,0.75,-0.614,1
5,0.82,1.6,1.54,0.4,0.46,1,1,2,0,1.16,0.32,1.14,1,0,1,0.72,0.6,0.82,0.54,-0.28,1
6,0.86,1.08,1.85,0.92,0.15,1,0,1,1,1.71,0.07,0.93,0,-1,1,0.028,0.08,0.86,0.85,0.028,0
7,0.84,1.64,1.55,0.36,0.45,1,0,1,1,1.16,0.35,1.19,0,-1,1,0.36,0.64,0.84,0.55,0.36,0
8,0.92,1.8,1.61,0.2,0.39,1,0,1,1,1.14,0.49,1.41,0,-1,1,0.334,0.8,0.92,0.61,0.334,0
9,0.92,1.9,1.21,0.1,0.79,1,0,1,1,0.96,0.19,1.11,0,-1,1,0.78,0.9,0.92,0.21,0.78,0
10,0.92,1.09,1.91,0.91,0.09,1,1,2,0,1.82,0.08,1.0,1,0,1,0.12,0.09,0.92,0.91,-0.88,1
11,0.96,1.86,1.74,0.14,0.26,1,0,1,1,1.16,0.64,1.6,0,-1,1,0.224,0.86,0.96,0.74,0.224,0
12,0.97,1.94,1.58,0.06,0.42,1,0,1,1,1.04,0.55,1.52,0,-1,1,0.41,0.94,0.97,0.58,0.41,0
13,0.97,1.82,1.82,0.18,0.18,1,1,2,0,1.24,0.67,1.64,1,0,1,0.862,0.82,0.97,0.82,-0.138,1
14,0.45,1.15,1.35,0.85,0.65,1,0,1,1,0.79,0.05,0.5,0,-1,1,0.218,0.15,0.45,0.35,0.218,0
15,0.95,1.91,1.48,0.09,0.52,1,1,2,0,1.04,0.44,1.39,1,0,1,0.96,0.91,0.95,0.48,-0.040000000000000036,1
16,0.44,1.32,1.18,0.68,0.82,1,0,1,1,0.6,0.06,0.5,0,-1,1,0.594,0.32,0.44,0.18,0.594,0
17,0.87,1.56,1.7,0.44,0.3,1,0,1,1,1.35,0.39,1.26,0,-1,1,0.204,0.56,0.87,0.7,0.204,0
18,0.63,1.17,1.55,0.83,0.45,1,0,1,1,1.16,0.09,0.72,0,-1,1,0.128,0.17,0.63,0.55,0.128,0
19,0.87,1.06,1.86,0.94,0.14,1,0,1,1,1.73,0.05,0.92,0,-1,1,0.012,0.06,0.87,0.86,0.012,0
20,0.82,1.11,1.8,0.89,0.2,1,1,2,0,1.61,0.09,0.91,1,0,1,0.142,0.11,0.82,0.8,-0.858,1
21,0.91,1.66,1.73,0.34,0.27,1,0,1,1,1.32,0.48,1.39,0,-1,1,0.206,0.66,0.91,0.73,0.206,0
22,0.95,1.95,1.08,0.05,0.92,1,0,1,1,0.96,0.08,1.03,0,-1,1,0.916,0.95,0.95,0.08,0.916,0
23,0.73,1.65,1.24,0.35,0.76,1,1,2,0,0.87,0.16,0.89,1,0,1,0.906,0.65,0.73,0.24,-0.09399999999999997,1
24,0.91,1.61,1.77,0.39,0.23,1,1,2,0,1.39,0.47,1.38,1,0,1,0.662,0.61,0.91,0.77,-0.33799999999999997,1
25,0.83,1.22,1.78,0.78,0.22,1,1,2,0,1.57,0.17,1.0,1,0,1,0.32,0.22,0.83,0.78,-0.6799999999999999,1
26,0.48,1.31,1.25,0.69,0.75,1,1,2,0,0.71,0.08,0.56,1,0,1,0.658,0.31,0.48,0.25,-0.34199999999999997,1
27,0.38,1.09,1.32,0.91,0.68,1,1,2,0,0.7,0.03,0.41,1,0,1,0.236,0.09,0.38,0.32,-0.764,1
28,0.93,1.84,1.58,0.16,0.42,1,1,2,0,1.1,0.49,1.42,1,0,1,0.908,0.84,0.93,0.58,-0.09199999999999997,1
29,0.97,1.58,1.92,0.42,0.08,1,1,2,0,1.58,0.53,1.5,1,0,1,0.604,0.58,0.97,0.92,-0.396,1
30,0.3,1.24,1.08,0.76,0.92,1,1,2,0,0.38,0.02,0.32,1,0,1,0.794,0.24,0.3,0.08,-0.20599999999999996,1
31,0.56,1.06,1.53,0.94,0.47,1,0,1,1,1.09,0.03,0.59,0,-1,1,0.052,0.06,0.56,0.53,0.052,0
32,0.93,1.54,1.85,0.46,0.15,1,1,2,0,1.53,0.46,1.39,1,0,1,0.578,0.54,0.93,0.85,-0.42200000000000004,1
33,0.92,1.85,1.46,0.15,0.54,1,1,2,0,1.05,0.39,1.31,1,0,1,0.936,0.85,0.92,0.46,-0.06399999999999995,1
34,0.71,1.2,1.64,0.8,0.36,1,1,2,0,1.33,0.13,0.84,1,0,1,0.3,0.2,0.71,0.64,-0.7,1
35,0.83,1.43,1.71,0.57,0.29,1,0,1,1,1.41,0.31,1.14,0,-1,1,0.174,0.43,0.83,0.71,0.174,0
36,0.92,1.9,1.17,0.1,0.83,1,0,1,1,0.95,0.15,1.07,0,-1,1,0.772,0.9,0.92,0.17,0.772,0
37,0.8,1.3,1.72,0.7,0.28,1,0,1,1,1.46,0.22,1.02,0,-1,1,0.102,0.3,0.8,0.72,0.102,0
38,0.6,1.41,1.32,0.59,0.68,1,1,2,0,0.87,0.13,0.73,1,0,1,0.67,0.41,0.6,0.32,-0.32999999999999996,1
39,0.94,1.91,1.3,0.09,0.7,1,0,1,1,0.99,0.27,1.21,0,-1,1,0.632,0.91,0.94,0.3,0.632,0
40,0.98,1.81,1.91,0.19,0.09,1,0,1,1,1.3,0.74,1.72,0,-1,1,0.06,0.81,0.98,0.91,0.06,0
41,0.59,1.31,1.41,0.69,0.59,1,0,1,1,0.96,0.13,0.72,0,-1,1,0.346,0.31,0.59,0.41,0.346,0
42,0.51,1.11,1.45,0.89,0.55,1,1,2,0,0.96,0.05,0.56,1,0,1,0.228,0.11,0.51,0.45,-0.772,1
43,0.79,1.57,1.51,0.43,0.49,1,1,2,0,1.13,0.29,1.08,1,0,1,0.728,0.57,0.79,0.51,-0.272,1
44,0.71,1.3,1.58,0.7,0.42,1,1,2,0,1.23,0.17,0.88,1,0,1,0.416,0.3,0.71,0.58,-0.5840000000000001,1
45,0.48,1.38,1.16,0.62,0.84,1,0,1,1,0.62,0.06,0.54,0,-1,1,0.692,0.38,0.48,0.16,0.692,0
46,0.97,1.93,1.5,0.07,0.5,1,1,2,0,1.03,0.47,1.43,1,0,1,0.948,0.93,0.97,0.5,-0.052000000000000046,1
47,0.91,1.41,1.84,0.59,0.16,1,0,1,1,1.6,0.34,1.25,0,-1,1,0.06,0.41,0.91,0.84,0.06,0
48,0.59,1.1,1.54,0.9,0.46,1,1,2,0,1.12,0.05,0.64,1,0,1,0.204,0.1,0.59,0.54,-0.796,1
49,0.65,1.21,1.56,0.79,0.44,1,1,2,0,1.19,0.12,0.77,1,0,1,0.324,0.21,0.65,0.56,-0.6759999999999999,1
50,0.63,1.56,1.17,0.44,0.83,1,0,1,1,0.75,0.1,0.73,0,-1,1,0.766,0.56,0.63,0.17,0.766,0
51,0.9,1.88,1.14,0.12,0.86,1,1,2,0,0.93,0.12,1.02,1,0,1,0.976,0.88,0.9,0.14,-0.02400000000000002,1
52,0.64,1.5,1.28,0.5,0.72,1,1,2,0,0.85,0.14,0.78,1,0,1,0.788,0.5,0.64,0.28,-0.21199999999999997,1
53,0.73,1.22,1.66,0.78,0.34,1,1,2,0,1.36,0.15,0.88,1,0,1,0.286,0.22,0.73,0.66,-0.714,1
54,0.81,1.75,1.23,0.25,0.77,1,1,2,0,0.91,0.17,0.98,1,0,1,0.924,0.75,0.81,0.23,-0.07599999999999996,1
55,0.59,1.32,1.4,0.68,0.6,1,0,1,1,0.95,0.13,0.72,0,-1,1,0.308,0.32,0.59,0.4,0.308,0
56,0.18,1.1,1.09,0.9,0.91,1,1,2,0,0.27,0.01,0.19,1,0,1,0.534,0.1,0.18,0.09,-0.46599999999999997,1
57,0.98,1.91,1.73,0.09,0.27,1,1,2,0,1.1,0.66,1.64,1,0,1,0.918,0.91,0.98,0.73,-0.08199999999999996,1
58,0.47,1.19,1.35,0.81,0.65,1,0,1,1,0.81,0.07,0.54,0,-1,1,0.28,0.19,0.47,0.35,0.28,0
59,0.8,1.55,1.56,0.45,0.44,1,1,2,0,1.19,0.31,1.11,1,0,1,0.696,0.55,0.8,0.56,-0.30400000000000005,1
60,0.56,1.26,1.41,0.74,0.59,1,0,1,1,0.95,0.11,0.67,0,-1,1,0.288,0.26,0.56,0.41,0.288,0
61,0.74,1.72,1.08,0.28,0.92,1,0,1,1,0.78,0.06,0.8,0,-1,1,0.902,0.72,0.74,0.08,0.902,0
62,0.98,1.79,1.89,0.21,0.11,1,0,1,1,1.31,0.7,1.68,0,-1,1,0.068,0.79,0.98,0.89,0.068,0
63,0.65,1.31,1.49,0.69,0.51,1,1,2,0,1.09,0.15,0.8,1,0,1,0.488,0.31,0.65,0.49,-0.512,1
64,0.92,1.5,1.83,0.5,0.17,1,0,1,1,1.54,0.41,1.33,0,-1,1,0.102,0.5,0.92,0.83,0.102,0
65,0.69,1.64,1.13,0.36,0.87,1,0,1,1,0.76,0.08,0.77,0,-1,1,0.812,0.64,0.69,0.13,0.812,0
66,0.94,1.33,1.91,0.67,0.09,1,1,2,0,1.75,0.3,1.24,1,0,1,0.336,0.33,0.94,0.91,-0.6639999999999999,1
67,0.82,1.51,1.64,0.49,0.36,1,0,1,1,1.3,0.33,1.15,0,-1,1,0.236,0.51,0.82,0.64,0.236,0
68,0.92,1.87,1.36,0.13,0.64,1,0,1,1,1.0,0.31,1.23,0,-1,1,0.586,0.87,0.92,0.36,0.586,0
69,0.73,1.32,1.6,0.68,0.4,1,0,1,1,1.27,0.19,0.92,0,-1,1,0.178,0.32,0.73,0.6,0.178,0
70,0.73,1.55,1.41,0.45,0.59,1,0,1,1,1.02,0.23,0.96,0,-1,1,0.444,0.55,0.73,0.41,0.444,0
71,0.95,1.87,1.64,0.13,0.36,1,0,1,1,1.11,0.56,1.51,0,-1,1,0.32,0.87,0.95,0.64,0.32,0
72,0.82,1.41,1.7,0.59,0.3,1,1,2,0,1.41,0.29,1.11,1,0,1,0.474,0.41,0.82,0.7,-0.526,1
73,0.25,1.17,1.1,0.83,0.9,1,1,2,0,0.35,0.02,0.27,1,0,1,0.702,0.17,0.25,0.1,-0.29800000000000004,1
74,0.56,1.06,1.53,0.94,0.47,1,0,1,1,1.09,0.03,0.59,0,-1,1,0.056,0.06,0.56,0.53,0.056,0
75,0.87,1.68,1.59,0.32,0.41,1,1,2,0,1.19,0.4,1.27,1,0,1,0.774,0.68,0.87,0.59,-0.22599999999999998,1
76,0.9,1.63,1.73,0.37,0.27,1,0,1,1,1.34,0.46,1.36,0,-1,1,0.184,0.63,0.9,0.73,0.184,0
77,0.67,1.11,1.63,0.89,0.37,1,1,2,0,1.29,0.07,0.74,1,0,1,0.162,0.11,0.67,0.63,-0.838,1
78,0.95,1.91,1.43,0.09,0.57,1,1,2,0,1.02,0.39,1.34,1,0,1,0.968,0.91,0.95,0.43,-0.03200000000000003,1
79,0.98,1.83,1.86,0.17,0.14,1,0,1,1,1.24,0.71,1.69,0,-1,1,0.112,0.83,0.98,0.86,0.112,0
80,0.87,1.75,1.47,0.25,0.53,1,0,1,1,1.07,0.35,1.22,0,-1,1,0.406,0.75,0.87,0.47,0.406,0
81,0.7,1.56,1.32,0.44,0.68,1,0,1,1,0.92,0.18,0.88,0,-1,1,0.536,0.56,0.7,0.32,0.536,0
82,0.61,1.56,1.11,0.44,0.89,1,0,1,1,0.68,0.06,0.67,0,-1,1,0.826,0.56,0.61,0.11,0.826,0
83,0.43,1.3,1.19,0.7,0.81,1,1,2,0,0.61,0.06,0.49,1,0,1,0.72,0.3,0.43,0.19,-0.28,1
84,0.73,1.71,1.06,0.29,0.94,1,0,1,1,0.76,0.04,0.77,0,-1,1,0.926,0.71,0.73,0.06,0.926,0
85,0.72,1.63,1.25,0.37,0.75,1,0,1,1,0.87,0.16,0.88,0,-1,1,0.644,0.63,0.72,0.25,0.644,0
86,0.86,1.18,1.83,0.82,0.17,1,1,2,0,1.66,0.15,1.01,1,0,1,0.182,0.18,0.86,0.83,-0.8180000000000001,1
87,0.57,1.41,1.27,0.59,0.73,1,0,1,1,0.79,0.11,0.68,0,-1,1,0.504,0.41,0.57,0.27,0.504,0
88,0.29,1.15,1.17,0.85,0.83,1,0,1,1,0.46,0.03,0.32,0,-1,1,0.442,0.15,0.29,0.17,0.442,0
89,0.74,1.45,1.52,0.55,0.48,1,1,2,0,1.15,0.23,0.97,1,0,1,0.61,0.45,0.74,0.52,-0.39,1
90,0.33,1.26,1.09,0.74,0.91,1,0,1,1,0.41,0.02,0.35,0,-1,1,0.742,0.26,0.33,0.09,0.742,0
91,0.98,1.92,1.77,0.08,0.23,1,1,2,0,1.1,0.71,1.69,1,0,1,0.944,0.92,0.98,0.77,-0.05600000000000005,1
92,0.56,1.4,1.26,0.6,0.74,1,1,2,0,0.77,0.1,0.66,1,0,1,0.708,0.4,0.56,0.26,-0.29200000000000004,1
93,0.97,1.72,1.88,0.28,0.12,1,1,2,0,1.39,0.63,1.6,1,0,1,0.758,0.72,0.97,0.88,-0.242,1
94,0.38,1.05,1.35,0.95,0.65,1,0,1,1,0.73,0.02,0.4,0,-1,1,0.088,0.05,0.38,0.35,0.088,0
95,0.86,1.59,1.65,0.41,0.35,1,0,1,1,1.28,0.38,1.24,0,-1,1,0.236,0.59,0.86,0.65,0.236,0
96,0.45,1.28,1.23,0.72,0.77,1,0,1,1,0.66,0.06,0.51,0,-1,1,0.434,0.28,0.45,0.23,0.434,0
97,0.99,1.95,1.76,0.05,0.24,1,0,1,1,1.06,0.72,1.71,0,-1,1,0.19,0.95,0.99,0.76,0.19,0
98,0.2,1.15,1.06,0.85,0.94,1,1,2,0,0.26,0.01,0.21,1,0,1,0.744,0.15,0.2,0.06,-0.256,1
99,0.84,1.44,1.71,0.56,0.29,1,1,2,0,1.41,0.31,1.15,1,0,1,0.526,0.44,0.84,0.71,-0.474,1
100,0.93,1.88,1.42,0.12,0.58,1,0,1,1,1.03,0.37,1.3,0,-1,1,0.502,0.88,0.93,0.42,0.502,0
101,0.79,1.13,1.76,0.87,0.24,1,0,1,1,1.54,0.1,0.89,0,-1,1,0.038,0.13,0.79,0.76,0.038,0
102,0.96,1.89,1.65,0.11,0.35,1,0,1,1,1.1,0.58,1.54,0,-1,1,0.31,0.89,0.96,0.65,0.31,0
103,0.81,1.48,1.63,0.52,0.37,1,0,1,1,1.29,0.3,1.11,0,-1,1,0.204,0.48,0.81,0.63,0.204,0
104,0.35,1.18,1.21,0.82,0.79,1,1,2,0,0.56,0.04,0.39,1,0,1,0.52,0.18,0.35,0.21,-0.48,1
105,0.76,1.45,1.57,0.55,0.43,1,0,1,1,1.22,0.26,1.02,0,-1,1,0.228,0.45,0.76,0.57,0.228,0
106,0.96,1.79,1.81,0.21,0.19,1,0,1,1,1.26,0.64,1.6,0,-1,1,0.144,0.79,0.96,0.81,0.144,0
107,0.78,1.42,1.62,0.58,0.38,1,0,1,1,1.29,0.26,1.04,0,-1,1,0.228,0.42,0.78,0.62,0.228,0
108,0.65,1.56,1.21,0.44,0.79,1,0,1,1,0.8,0.12,0.77,0,-1,1,0.642,0.56,0.65,0.21,0.642,0
109,0.55,1.45,1.18,0.55,0.82,1,0,1,1,0.69,0.08,0.63,0,-1,1,0.69,0.45,0.55,0.18,0.69,0
110,0.86,1.51,1.71,0.49,0.29,1,1,2,0,1.38,0.36,1.22,1,0,1,0.626,0.51,0.86,0.71,-0.374,1
111,0.77,1.73,1.14,0.27,0.86,1,1,2,0,0.83,0.1,0.87,1,0,1,0.954,0.73,0.77,0.14,-0.04600000000000004,1
112,0.83,1.3,1.75,0.7,0.25,1,0,1,1,1.51,0.22,1.05,0,-1,1,0.104,0.3,0.83,0.75,0.104,0
113,0.92,1.74,1.7,0.26,0.3,1,0,1,1,1.24,0.52,1.44,0,-1,1,0.25,0.74,0.92,0.7,0.25,0
114,0.77,1.22,1.71,0.78,0.29,1,1,2,0,1.45,0.16,0.93,1,0,1,0.268,0.22,0.77,0.71,-0.732,1
115,0.71,1.29,1.59,0.71,0.41,1,1,2,0,1.25,0.17,0.88,1,0,1,0.418,0.29,0.71,0.59,-0.5820000000000001,1
116,0.78,1.41,1.63,0.59,0.37,1,1,2,0,1.31,0.26,1.04,1,0,1,0.54,0.41,0.78,0.63,-0.45999999999999996,1
117,0.85,1.1,1.83,0.9,0.17,1,1,2,0,1.67,0.08,0.93,1,0,1,0.122,0.1,0.85,0.83,-0.878,1
118,0.5,1.11,1.44,0.89,0.56,1,0,1,1,0.94,0.05,0.55,0,-1,1,0.124,0.11,0.5,0.44,0.124,0
119,0.63,1.41,1.38,0.59,0.62,1,0,1,1,0.95,0.16,0.79,0,-1,1,0.376,0.41,0.63,0.38,0.376,0
120,0.95,1.92,1.43,0.08,0.57,1,0,1,1,1.02,0.4,1.35,0,-1,1,0.59,0.92,0.95,0.43,0.59,0
121,0.97,1.66,1.92,0.34,0.08,1,0,1,1,1.49,0.61,1.58,0,-1,1,0.054,0.66,0.97,0.92,0.054,0
122,0.94,1.85,1.63,0.15,0.37,1,0,1,1,1.12,0.54,1.48,0,-1,1,0.304,0.85,0.94,0.63,0.304,0
123,0.7,1.09,1.67,0.91,0.33,1,0,1,1,1.36,0.06,0.76,0,-1,1,0.044,0.09,0.7,0.67,0.044,0
124,0.89,1.11,1.88,0.89,0.12,1,1,2,0,1.76,0.1,0.99,1,0,1,0.104,0.11,0.89,0.88,-0.896,1
125,0.72,1.14,1.68,0.86,0.32,1,0,1,1,1.39,0.1,0.82,0,-1,1,0.064,0.14,0.72,0.68,0.064,0
126,0.56,1.26,1.4,0.74,0.6,1,1,2,0,0.93,0.1,0.66,1,0,1,0.486,0.26,0.56,0.4,-0.514,1
127,0.29,1.06,1.24,0.94,0.76,1,1,2,0,0.52,0.01,0.3,1,0,1,0.212,0.06,0.29,0.24,-0.788,1
128,0.87,1.81,1.34,0.19,0.66,1,0,1,1,0.99,0.28,1.15,0,-1,1,0.616,0.81,0.87,0.34,0.616,0
129,0.79,1.58,1.5,0.42,0.5,1,1,2,0,1.12,0.29,1.08,1,0,1,0.73,0.58,0.79,0.5,-0.27,1
130,0.42,1.33,1.14,0.67,0.86,1,1,2,0,0.55,0.05,0.47,1,0,1,0.754,0.33,0.42,0.14,-0.246,1
131,0.57,1.51,1.12,0.49,0.88,1,0,1,1,0.66,0.06,0.63,0,-1,1,0.806,0.51,0.57,0.12,0.806,0
