,((p1+p2)-p1*p2),(1+p1),(1+p2),(1-p1),(1-p2),(c*c),(c*t),(c+t),(c-t),(p1 + p2 - p1 * p2*p1 + p2 - p1 * p2),(p1*p2),(p1+p2),(t*t),(t-c),c,expected_post,p1,p1 + p2 - p1 * p2,p2,post-init,t
132,0.79,1.26,1.71,0.74,0.29,1,1,2,0,1.45,0.18,0.97,1,0,1,0.326,0.26,0.79,0.71,-0.6739999999999999,1
133,0.78,1.53,1.54,0.47,0.46,1,1,2,0,1.17,0.29,1.07,1,0,1,0.666,0.53,0.78,0.54,-0.33399999999999996,1
134,0.45,1.12,1.37,0.88,0.63,1,0,1,1,0.81,0.04,0.49,0,-1,1,0.178,0.12,0.45,0.37,0.178,0
135,0.65,1.43,1.39,0.57,0.61,1,1,2,0,0.97,0.17,0.82,1,0,1,0.65,0.43,0.65,0.39,-0.35,1
136,0.88,1.72,1.57,0.28,0.43,1,1,2,0,1.15,0.41,1.29,1,0,1,0.828,0.72,0.88,0.57,-0.17200000000000004,1
137,0.97,1.75,1.9,0.25,0.1,1,1,2,0,1.37,0.68,1.65,1,0,1,0.778,0.75,0.97,0.9,-0.22199999999999998,1
138,0.94,1.92,1.21,0.08,0.79,1,0,1,1,0.97,0.19,1.13,0,-1,1,0.77,0.92,0.94,0.21,0.77,0
139,0.96,1.88,1.69,0.12,0.31,1,0,1,1,1.12,0.61,1.57,0,-1,1,0.27,0.88,0.96,0.69,0.27,0
140,0.95,1.74,1.79,0.26,0.21,1,1,2,0,1.3,0.58,1.53,1,0,1,0.778,0.74,0.95,0.79,-0.22199999999999998,1
141,0.89,1.77,1.52,0.23,0.48,1,1,2,0,1.1,0.4,1.29,1,0,1,0.844,0.77,0.89,0.52,-0.15600000000000003,1
142,0.7,1.64,1.17,0.36,0.83,1,1,2,0,0.8,0.11,0.81,1,0,1,0.94,0.64,0.7,0.17,-0.06000000000000005,1
143,0.69,1.51,1.37,0.49,0.63,1,1,2,0,0.97,0.19,0.88,1,0,1,0.728,0.51,0.69,0.37,-0.272,1
144,0.76,1.74,1.09,0.26,0.91,1,1,2,0,0.8,0.07,0.83,1,0,1,0.968,0.74,0.76,0.09,-0.03200000000000003,1
145,0.76,1.63,1.34,0.37,0.66,1,1,2,0,0.96,0.21,0.97,1,0,1,0.834,0.63,0.76,0.34,-0.16600000000000004,1
146,0.94,1.66,1.83,0.34,0.17,1,0,1,1,1.41,0.55,1.49,0,-1,1,0.1,0.66,0.94,0.83,0.1,0
147,0.78,1.11,1.75,0.89,0.25,1,1,2,0,1.52,0.08,0.86,1,0,1,0.178,0.11,0.78,0.75,-0.8220000000000001,1
148,0.94,1.59,1.85,0.41,0.15,1,1,2,0,1.49,0.5,1.44,1,0,1,0.64,0.59,0.94,0.85,-0.36,1
149,0.92,1.47,1.84,0.53,0.16,1,1,2,0,1.57,0.39,1.31,1,0,1,0.484,0.47,0.92,0.84,-0.516,1
150,0.74,1.64,1.29,0.36,0.71,1,0,1,1,0.92,0.19,0.93,0,-1,1,0.642,0.64,0.74,0.29,0.642,0
151,0.98,1.81,1.92,0.19,0.08,1,1,2,0,1.3,0.75,1.73,1,0,1,0.812,0.81,0.98,0.92,-0.18799999999999994,1
152,0.73,1.44,1.52,0.56,0.48,1,0,1,1,1.15,0.23,0.96,0,-1,1,0.342,0.44,0.73,0.52,0.342,0
153,0.73,1.62,1.3,0.38,0.7,1,0,1,1,0.92,0.19,0.92,0,-1,1,0.584,0.62,0.73,0.3,0.584,0
154,0.86,1.65,1.6,0.35,0.4,1,0,1,1,1.21,0.39,1.25,0,-1,1,0.31,0.65,0.86,0.6,0.31,0
155,0.32,1.17,1.18,0.83,0.82,1,1,2,0,0.49,0.03,0.35,1,0,1,0.544,0.17,0.32,0.18,-0.45599999999999996,1
156,0.58,1.1,1.53,0.9,0.47,1,1,2,0,1.1,0.05,0.63,1,0,1,0.146,0.1,0.58,0.53,-0.854,1
157,0.88,1.51,1.75,0.49,0.25,1,0,1,1,1.43,0.38,1.26,0,-1,1,0.162,0.51,0.88,0.75,0.162,0
158,0.6,1.41,1.32,0.59,0.68,1,1,2,0,0.87,0.13,0.73,1,0,1,0.714,0.41,0.6,0.32,-0.28600000000000003,1
159,0.79,1.54,1.55,0.46,0.45,1,0,1,1,1.18,0.3,1.09,0,-1,1,0.318,0.54,0.79,0.55,0.318,0
160,0.97,1.36,1.95,0.64,0.05,1,1,2,0,1.79,0.34,1.31,1,0,1,0.434,0.36,0.97,0.95,-0.5660000000000001,1
161,0.96,1.44,1.93,0.56,0.07,1,1,2,0,1.71,0.41,1.37,1,0,1,0.466,0.44,0.96,0.93,-0.534,1
162,0.94,1.88,1.53,0.12,0.47,1,1,2,0,1.06,0.47,1.41,1,0,1,0.946,0.88,0.94,0.53,-0.05400000000000005,1
163,0.29,1.08,1.23,0.92,0.77,1,0,1,1,0.52,0.02,0.31,0,-1,1,0.198,0.08,0.29,0.23,0.198,0
164,0.84,1.3,1.77,0.7,0.23,1,0,1,1,1.54,0.23,1.07,0,-1,1,0.1,0.3,0.84,0.77,0.1,0
165,0.54,1.35,1.29,0.65,0.71,1,0,1,1,0.79,0.1,0.64,0,-1,1,0.498,0.35,0.54,0.29,0.498,0
166,0.8,1.16,1.76,0.84,0.24,1,0,1,1,1.54,0.12,0.92,0,-1,1,0.056,0.16,0.8,0.76,0.056,0
167,0.89,1.72,1.59,0.28,0.41,1,1,2,0,1.17,0.42,1.31,1,0,1,0.808,0.72,0.89,0.59,-0.19199999999999995,1
168,0.9,1.79,1.53,0.21,0.47,1,1,2,0,1.1,0.42,1.32,1,0,1,0.868,0.79,0.9,0.53,-0.132,1
169,0.78,1.39,1.64,0.61,0.36,1,0,1,1,1.32,0.25,1.03,0,-1,1,0.168,0.39,0.78,0.64,0.168,0
170,0.82,1.76,1.23,0.24,0.77,1,0,1,1,0.91,0.17,0.99,0,-1,1,0.728,0.76,0.82,0.23,0.728,0
171,0.79,1.5,1.59,0.5,0.41,1,0,1,1,1.24,0.29,1.09,0,-1,1,0.282,0.5,0.79,0.59,0.282,0
172,0.28,1.05,1.24,0.95,0.76,1,0,1,1,0.52,0.01,0.29,0,-1,1,0.108,0.05,0.28,0.24,0.108,0
173,0.69,1.15,1.63,0.85,0.37,1,0,1,1,1.3,0.09,0.78,0,-1,1,0.082,0.15,0.69,0.63,0.082,0
174,0.98,1.72,1.92,0.28,0.08,1,1,2,0,1.42,0.66,1.64,1,0,1,0.7,0.72,0.98,0.92,-0.30000000000000004,1
175,0.2,1.06,1.15,0.94,0.85,1,0,1,1,0.35,0.01,0.21,0,-1,1,0.228,0.06,0.2,0.15,0.228,0
176,0.58,1.54,1.09,0.46,0.91,1,0,1,1,0.65,0.05,0.63,0,-1,1,0.862,0.54,0.58,0.09,0.862,0
177,0.54,1.45,1.16,0.55,0.84,1,1,2,0,0.67,0.07,0.61,1,0,1,0.84,0.45,0.54,0.16,-0.16000000000000003,1
178,0.64,1.62,1.05,0.38,0.95,1,1,2,0,0.67,0.03,0.67,1,0,1,0.982,0.62,0.64,0.05,-0.018000000000000016,1
179,0.88,1.18,1.85,0.82,0.15,1,0,1,1,1.7,0.15,1.03,0,-1,1,0.024,0.18,0.88,0.85,0.024,0
180,0.84,1.06,1.83,0.94,0.17,1,0,1,1,1.67,0.05,0.89,0,-1,1,0.008,0.06,0.84,0.83,0.008,0
181,0.93,1.78,1.69,0.22,0.31,1,1,2,0,1.2,0.54,1.47,1,0,1,0.852,0.78,0.93,0.69,-0.14800000000000002,1
182,0.93,1.54,1.85,0.46,0.15,1,0,1,1,1.53,0.46,1.39,0,-1,1,0.1,0.54,0.93,0.85,0.1,0
183,0.78,1.75,1.11,0.25,0.89,1,0,1,1,0.83,0.08,0.86,0,-1,1,0.896,0.75,0.78,0.11,0.896,0
184,0.94,1.93,1.11,0.07,0.89,1,0,1,1,0.95,0.1,1.04,0,-1,1,0.892,0.93,0.94,0.11,0.892,0
185,0.69,1.18,1.62,0.82,0.38,1,1,2,0,1.29,0.11,0.8,1,0,1,0.252,0.18,0.69,0.62,-0.748,1
186,0.97,1.91,1.63,0.09,0.37,1,0,1,1,1.07,0.57,1.54,0,-1,1,0.342,0.91,0.97,0.63,0.342,0
187,0.4,1.3,1.14,0.7,0.86,1,1,2,0,0.53,0.04,0.44,1,0,1,0.75,0.3,0.4,0.14,-0.25,1
188,0.87,1.52,1.72,0.48,0.28,1,1,2,0,1.39,0.37,1.24,1,0,1,0.618,0.52,0.87,0.72,-0.382,1
189,0.63,1.27,1.49,0.73,0.51,1,1,2,0,1.08,0.13,0.76,1,0,1,0.438,0.27,0.63,0.49,-0.562,1
190,0.79,1.7,1.3,0.3,0.7,1,1,2,0,0.94,0.21,1.0,1,0,1,0.888,0.7,0.79,0.3,-0.11199999999999999,1
191,0.95,1.72,1.82,0.28,0.18,1,1,2,0,1.34,0.59,1.54,1,0,1,0.756,0.72,0.95,0.82,-0.244,1
192,0.96,1.68,1.89,0.32,0.11,1,1,2,0,1.44,0.61,1.57,1,0,1,0.722,0.68,0.96,0.89,-0.278,1
193,0.63,1.56,1.17,0.44,0.83,1,0,1,1,0.75,0.1,0.73,0,-1,1,0.732,0.56,0.63,0.17,0.732,0
194,0.84,1.71,1.45,0.29,0.55,1,1,2,0,1.06,0.32,1.16,1,0,1,0.854,0.71,0.84,0.45,-0.14600000000000002,1
195,0.28,1.23,1.07,0.77,0.93,1,0,1,1,0.35,0.02,0.3,0,-1,1,0.756,0.23,0.28,0.07,0.756,0
196,0.97,1.94,1.56,0.06,0.44,1,0,1,1,1.04,0.53,1.5,0,-1,1,0.402,0.94,0.97,0.56,0.402,0
197,0.97,1.83,1.85,0.17,0.15,1,1,2,0,1.24,0.71,1.68,1,0,1,0.832,0.83,0.97,0.85,-0.16800000000000004,1
198,0.82,1.31,1.74,0.69,0.26,1,0,1,1,1.49,0.23,1.05,0,-1,1,0.1,0.31,0.82,0.74,0.1,0
199,0.79,1.33,1.69,0.67,0.31,1,0,1,1,1.41,0.23,1.02,0,-1,1,0.132,0.33,0.79,0.69,0.132,0
200,0.67,1.48,1.37,0.52,0.63,1,1,2,0,0.96,0.18,0.85,1,0,1,0.712,0.48,0.67,0.37,-0.28800000000000003,1
201,0.38,1.06,1.34,0.94,0.66,1,1,2,0,0.72,0.02,0.4,1,0,1,0.178,0.06,0.38,0.34,-0.8220000000000001,1
202,0.57,1.06,1.54,0.94,0.46,1,0,1,1,1.11,0.03,0.6,0,-1,1,0.046,0.06,0.57,0.54,0.046,0
203,0.94,1.9,1.37,0.1,0.63,1,0,1,1,1.01,0.33,1.27,0,-1,1,0.582,0.9,0.94,0.37,0.582,0
204,0.88,1.61,1.7,0.39,0.3,1,1,2,0,1.32,0.43,1.31,1,0,1,0.702,0.61,0.88,0.7,-0.29800000000000004,1
205,0.91,1.63,1.76,0.37,0.24,1,0,1,1,1.37,0.48,1.39,0,-1,1,0.174,0.63,0.91,0.76,0.174,0
206,0.82,1.42,1.69,0.58,0.31,1,0,1,1,1.39,0.29,1.11,0,-1,1,0.158,0.42,0.82,0.69,0.158,0
207,0.82,1.15,1.79,0.85,0.21,1,0,1,1,1.59,0.12,0.94,0,-1,1,0.04,0.15,0.82,0.79,0.04,0
208,0.88,1.8,1.4,0.2,0.6,1,0,1,1,1.02,0.32,1.2,0,-1,1,0.518,0.8,0.88,0.4,0.518,0
209,0.94,1.05,1.94,0.95,0.06,1,1,2,0,1.88,0.05,0.99,1,0,1,0.048,0.05,0.94,0.94,-0.952,1
210,0.79,1.76,1.12,0.24,0.88,1,0,1,1,0.84,0.09,0.88,0,-1,1,0.84,0.76,0.79,0.12,0.84,0
211,0.48,1.07,1.44,0.93,0.56,1,0,1,1,0.92,0.03,0.51,0,-1,1,0.098,0.07,0.48,0.44,0.098,0
212,0.18,1.06,1.13,0.94,0.87,1,0,1,1,0.31,0.01,0.19,0,-1,1,0.278,0.06,0.18,0.13,0.278,0
213,0.96,1.93,1.37,0.07,0.63,1,0,1,1,1.01,0.34,1.3,0,-1,1,0.632,0.93,0.96,0.37,0.632,0
214,0.89,1.55,1.76,0.45,0.24,1,1,2,0,1.42,0.42,1.31,1,0,1,0.58,0.55,0.89,0.76,-0.42000000000000004,1
215,0.98,1.93,1.69,0.07,0.31,1,1,2,0,1.07,0.64,1.62,1,0,1,0.954,0.93,0.98,0.69,-0.04600000000000004,1
216,0.79,1.39,1.65,0.61,0.35,1,1,2,0,1.34,0.25,1.04,1,0,1,0.484,0.39,0.79,0.65,-0.516,1
217,0.44,1.07,1.4,0.93,0.6,1,0,1,1,0.84,0.03,0.47,0,-1,1,0.114,0.07,0.44,0.4,0.114,0
218,0.44,1.06,1.4,0.94,0.6,1,1,2,0,0.83,0.02,0.46,1,0,1,0.15,0.06,0.44,0.4,-0.85,1
219,0.38,1.26,1.16,0.74,0.84,1,0,1,1,0.53,0.04,0.42,0,-1,1,0.564,0.26,0.38,0.16,0.564,0
220,0.88,1.68,1.63,0.32,0.37,1,0,1,1,1.22,0.43,1.31,0,-1,1,0.284,0.68,0.88,0.63,0.284,0
221,0.54,1.35,1.29,0.65,0.71,1,1,2,0,0.79,0.1,0.64,1,0,1,0.65,0.35,0.54,0.29,-0.35,1
222,0.5,1.4,1.17,0.6,0.83,1,0,1,1,0.64,0.07,0.57,0,-1,1,0.688,0.4,0.5,0.17,0.688,0
223,0.62,1.44,1.33,0.56,0.67,1,0,1,1,0.89,0.15,0.77,0,-1,1,0.458,0.44,0.62,0.33,0.458,0
224,0.81,1.13,1.78,0.87,0.22,1,0,1,1,1.58,0.1,0.91,0,-1,1,0.036,0.13,0.81,0.78,0.036,0
225,0.9,1.73,1.63,0.27,0.37,1,0,1,1,1.19,0.46,1.36,0,-1,1,0.312,0.73,0.9,0.63,0.312,0
226,0.75,1.53,1.46,0.47,0.54,1,1,2,0,1.08,0.24,0.99,1,0,1,0.712,0.53,0.75,0.46,-0.28800000000000003,1
227,0.57,1.23,1.44,0.77,0.56,1,0,1,1,0.99,0.1,0.67,0,-1,1,0.22,0.23,0.57,0.44,0.22,0
228,0.42,1.25,1.23,0.75,0.77,1,0,1,1,0.64,0.06,0.48,0,-1,1,0.474,0.25,0.42,0.23,0.474,0
229,0.7,1.68,1.05,0.32,0.95,1,1,2,0,0.72,0.03,0.73,1,0,1,0.97,0.68,0.7,0.05,-0.030000000000000027,1
230,0.88,1.76,1.5,0.24,0.5,1,0,1,1,1.09,0.38,1.26,0,-1,1,0.44,0.76,0.88,0.5,0.44,0
231,0.65,1.45,1.36,0.55,0.64,1,1,2,0,0.94,0.16,0.81,1,0,1,0.722,0.45,0.65,0.36,-0.278,1
232,0.9,1.45,1.81,0.55,0.19,1,1,2,0,1.54,0.36,1.26,1,0,1,0.506,0.45,0.9,0.81,-0.494,1
233,0.69,1.2,1.61,0.8,0.39,1,1,2,0,1.27,0.12,0.81,1,0,1,0.29,0.2,0.69,0.61,-0.71,1
234,0.81,1.64,1.47,0.36,0.53,1,1,2,0,1.09,0.3,1.11,1,0,1,0.782,0.64,0.81,0.47,-0.21799999999999997,1
235,0.93,1.58,1.84,0.42,0.16,1,1,2,0,1.49,0.49,1.42,1,0,1,0.62,0.58,0.93,0.84,-0.38,1
236,0.87,1.71,1.55,0.29,0.45,1,1,2,0,1.14,0.39,1.26,1,0,1,0.802,0.71,0.87,0.55,-0.19799999999999995,1
237,0.97,1.72,1.91,0.28,0.09,1,0,1,1,1.41,0.66,1.63,0,-1,1,0.058,0.72,0.97,0.91,0.058,0
238,0.81,1.13,1.78,0.87,0.22,1,0,1,1,1.58,0.1,0.91,0,-1,1,0.034,0.13,0.81,0.78,0.034,0
239,0.96,1.71,1.87,0.29,0.13,1,1,2,0,1.39,0.62,1.58,1,0,1,0.758,0.71,0.96,0.87,-0.242,1
240,0.85,1.27,1.8,0.73,0.2,1,1,2,0,1.6,0.22,1.07,1,0,1,0.308,0.27,0.85,0.8,-0.692,1
241,0.71,1.69,1.08,0.31,0.92,1,1,2,0,0.76,0.06,0.77,1,0,1,0.96,0.69,0.71,0.08,-0.040000000000000036,1
242,0.6,1.53,1.14,0.47,0.86,1,1,2,0,0.7,0.07,0.67,1,0,1,0.882,0.53,0.6,0.14,-0.118,1
243,0.81,1.74,1.26,0.26,0.74,1,0,1,1,0.93,0.19,1.0,0,-1,1,0.614,0.74,0.81,0.26,0.614,0
244,0.9,1.08,1.89,0.92,0.11,1,1,2,0,1.78,0.07,0.97,1,0,1,0.076,0.08,0.9,0.89,-0.924,1
245,0.92,1.73,1.69,0.27,0.31,1,0,1,1,1.24,0.5,1.42,0,-1,1,0.238,0.73,0.92,0.69,0.238,0
246,0.62,1.18,1.54,0.82,0.46,1,0,1,1,1.15,0.1,0.72,0,-1,1,0.134,0.18,0.62,0.54,0.134,0
247,0.91,1.74,1.64,0.26,0.36,1,0,1,1,1.2,0.47,1.38,0,-1,1,0.296,0.74,0.91,0.64,0.296,0
248,0.62,1.53,1.19,0.47,0.81,1,0,1,1,0.76,0.1,0.72,0,-1,1,0.674,0.53,0.62,0.19,0.674,0
249,0.73,1.66,1.2,0.34,0.8,1,0,1,1,0.84,0.13,0.86,0,-1,1,0.714,0.66,0.73,0.2,0.714,0
250,0.83,1.08,1.81,0.92,0.19,1,1,2,0,1.63,0.06,0.89,1,0,1,0.074,0.08,0.83,0.81,-0.926,1
251,0.98,1.59,1.94,0.41,0.06,1,1,2,0,1.59,0.55,1.53,1,0,1,0.652,0.59,0.98,0.94,-0.348,1
252,0.51,1.24,1.35,0.76,0.65,1,1,2,0,0.84,0.08,0.59,1,0,1,0.492,0.24,0.51,0.35,-0.508,1
253,0.58,1.32,1.38,0.68,0.62,1,1,2,0,0.92,0.12,0.7,1,0,1,0.562,0.32,0.58,0.38,-0.43799999999999994,1
254,0.7,1.47,1.43,0.53,0.57,1,0,1,1,1.03,0.2,0.9,0,-1,1,0.38,0.47,0.7,0.43,0.38,0
255,0.68,1.05,1.66,0.95,0.34,1,0,1,1,1.34,0.03,0.71,0,-1,1,0.024,0.05,0.68,0.66,0.024,0
256,0.93,1.84,1.55,0.16,0.45,1,1,2,0,1.09,0.46,1.39,1,0,1,0.9,0.84,0.93,0.55,-0.09999999999999998,1
257,0.67,1.4,1.45,0.6,0.55,1,0,1,1,1.05,0.18,0.85,0,-1,1,0.334,0.4,0.67,0.45,0.334,0
258,0.83,1.12,1.81,0.88,0.19,1,0,1,1,1.63,0.1,0.93,0,-1,1,0.032,0.12,0.83,0.81,0.032,0
259,0.77,1.65,1.33,0.35,0.67,1,0,1,1,0.96,0.21,0.98,0,-1,1,0.556,0.65,0.77,0.33,0.556,0
260,0.54,1.52,1.05,0.48,0.95,1,0,1,1,0.58,0.03,0.57,0,-1,1,0.908,0.52,0.54,0.05,0.908,0
261,0.95,1.68,1.84,0.32,0.16,1,1,2,0,1.4,0.57,1.52,1,0,1,0.748,0.68,0.95,0.84,-0.252,1
262,0.77,1.32,1.66,0.68,0.34,1,0,1,1,1.36,0.21,0.98,0,-1,1,0.138,0.32,0.77,0.66,0.138,0
263,0.94,1.91,1.36,0.09,0.64,1,0,1,1,1.0,0.33,1.27,0,-1,1,0.594,0.91,0.94,0.36,0.594,0
264,0.72,1.63,1.24,0.37,0.76,1,0,1,1,0.86,0.15,0.87,0,-1,1,0.636,0.63,0.72,0.24,0.636,0
