,((p1+p2)-p1*p2),(1+p1),(1+p2),(1-p1),(1-p2),(c1*c1),(c1*c2),(c1+c2),(c1-c2),(c2*c2),(c2-c1),(count*count),(p1*p2),(p1+p2),c1,c2,count,expected_post,p1,p2,post-init
0,0.65,1.39,1.42,0.61,0.58,0,0,0,0,0,0,121,0.16,0.81,0,0,11,12.232,0.39,0.42,1.2319999999999993
1,0.58,1.32,1.38,0.68,0.62,0,0,0,0,0,0,0,0.12,0.7,0,0,0,1.194,0.32,0.38,1.194
2,0.7,1.15,1.65,0.85,0.35,0,0,0,0,0,0,169,0.1,0.8,0,0,13,14.14,0.15,0.65,1.1400000000000006
3,0.79,1.46,1.61,0.54,0.39,0,0,0,0,0,0,1,0.28,1.07,0,0,1,2.362,0.46,0.61,1.362
4,0.97,1.7,1.89,0.3,0.11,0,0,0,0,0,0,225,0.62,1.59,0,0,15,16.662,0.7,0.89,1.661999999999999
5,0.46,1.22,1.31,0.78,0.69,0,0,0,0,0,0,49,0.07,0.53,0,0,7,8.15,0.22,0.31,1.1500000000000004
6,0.83,1.31,1.75,0.69,0.25,0,0,0,0,0,0,400,0.23,1.06,0,0,20,21.274,0.31,0.75,1.274000000000001
7,0.79,1.19,1.74,0.81,0.26,0,0,0,0,0,0,289,0.14,0.93,0,0,17,18.166,0.19,0.74,1.1660000000000004
8,0.8,1.53,1.58,0.47,0.42,0,0,0,0,0,0,196,0.31,1.11,0,0,14,15.386,0.53,0.58,1.3859999999999992
9,0.7,1.68,1.05,0.32,0.95,0,0,0,0,0,0,121,0.03,0.73,0,0,11,12.054,0.68,0.05,1.0540000000000003
10,0.85,1.84,1.06,0.16,0.94,0,0,0,0,0,0,361,0.05,0.9,0,0,19,20.052,0.84,0.06,1.0519999999999996
11,0.24,1.1,1.16,0.9,0.84,0,0,0,0,0,0,81,0.02,0.26,0,0,9,10.06,0.1,0.16,1.0600000000000005
12,0.98,1.92,1.75,0.08,0.25,0,0,0,0,0,0,225,0.69,1.67,0,0,15,16.726,0.92,0.75,1.725999999999999
13,0.57,1.34,1.35,0.66,0.65,0,0,0,0,0,0,64,0.12,0.69,0,0,8,9.25,0.34,0.35,1.25
14,0.97,1.62,1.92,0.38,0.08,0,0,0,0,0,0,0,0.57,1.54,0,0,0,1.59,0.62,0.92,1.59
15,0.6,1.33,1.4,0.67,0.6,0,0,0,0,0,0,225,0.13,0.73,0,0,15,16.222,0.33,0.4,1.2220000000000013
16,0.85,1.61,1.61,0.39,0.39,0,0,0,0,0,0,100,0.37,1.22,0,0,10,11.444,0.61,0.61,1.4440000000000008
17,0.9,1.88,1.17,0.12,0.83,0,0,0,0,0,0,121,0.15,1.05,0,0,11,12.174,0.88,0.17,1.1739999999999995
18,0.72,1.31,1.6,0.69,0.4,0,0,0,0,0,0,361,0.19,0.91,0,0,19,20.254,0.31,0.6,1.2540000000000013
19,0.47,1.19,1.35,0.81,0.65,0,0,0,0,0,0,1,0.07,0.54,0,0,1,2.158,0.19,0.35,1.158
20,0.65,1.44,1.38,0.56,0.62,0,0,0,0,0,0,196,0.17,0.82,0,0,14,15.276,0.44,0.38,1.2759999999999998
21,0.57,1.53,1.09,0.47,0.91,0,0,0,0,0,0,289,0.05,0.62,0,0,17,18.078,0.53,0.09,1.0779999999999994
22,0.6,1.55,1.11,0.45,0.89,0,0,0,0,0,0,49,0.06,0.66,0,0,7,8.114,0.55,0.11,1.1140000000000008
23,0.72,1.1,1.69,0.9,0.31,0,0,0,0,0,0,144,0.07,0.79,0,0,12,13.104,0.1,0.69,1.1039999999999992
24,0.99,1.93,1.81,0.07,0.19,0,0,0,0,0,0,4,0.75,1.74,0,0,2,3.768,0.93,0.81,1.7679999999999998
25,0.76,1.26,1.67,0.74,0.33,0,0,0,0,0,0,81,0.17,0.93,0,0,9,10.236,0.26,0.67,1.2360000000000007
26,0.91,1.84,1.44,0.16,0.56,0,0,0,0,0,0,0,0.37,1.28,0,0,0,1.438,0.84,0.44,1.438
27,0.93,1.5,1.86,0.5,0.14,0,0,0,0,0,0,289,0.43,1.36,0,0,17,18.452,0.5,0.86,1.4520000000000017
28,0.91,1.69,1.72,0.31,0.28,0,0,0,0,0,0,144,0.5,1.41,0,0,12,13.552,0.69,0.72,1.5519999999999996
29,0.84,1.2,1.8,0.8,0.2,0,0,0,0,0,0,49,0.16,1.0,0,0,7,8.18,0.2,0.8,1.1799999999999997
30,0.87,1.76,1.45,0.24,0.55,0,0,0,0,0,0,400,0.34,1.21,0,0,20,21.388,0.76,0.45,1.3880000000000017
31,0.94,1.86,1.6,0.14,0.4,0,0,0,0,0,0,169,0.52,1.46,0,0,13,14.516,0.86,0.6,1.516
32,0.33,1.12,1.24,0.88,0.76,0,0,0,0,0,0,16,0.03,0.36,0,0,4,5.068,0.12,0.24,1.0679999999999996
33,0.73,1.69,1.14,0.31,0.86,0,0,0,0,0,0,169,0.1,0.83,0,0,13,14.114,0.69,0.14,1.1140000000000008
34,0.86,1.8,1.3,0.2,0.7,0,0,0,0,0,0,81,0.24,1.1,0,0,9,10.284,0.8,0.3,1.2840000000000007
35,0.73,1.61,1.31,0.39,0.69,0,0,0,0,0,0,196,0.19,0.92,0,0,14,15.268,0.61,0.31,1.2680000000000007
36,0.87,1.59,1.69,0.41,0.31,0,0,0,0,0,0,256,0.41,1.28,0,0,16,17.484,0.59,0.69,1.4840000000000018
37,0.67,1.62,1.14,0.38,0.86,0,0,0,0,0,0,49,0.09,0.76,0,0,7,8.1,0.62,0.14,1.0999999999999996
38,0.57,1.37,1.31,0.63,0.69,0,0,0,0,0,0,196,0.11,0.68,0,0,14,15.204,0.37,0.31,1.2040000000000006
39,0.18,1.1,1.09,0.9,0.91,0,0,0,0,0,0,1,0.01,0.19,0,0,1,2.05,0.1,0.09,1.0499999999999998
40,0.41,1.28,1.18,0.72,0.82,0,0,0,0,0,0,36,0.05,0.46,0,0,6,7.156,0.28,0.18,1.1559999999999997
41,0.42,1.14,1.33,0.86,0.67,0,0,0,0,0,0,324,0.05,0.47,0,0,18,19.122,0.14,0.33,1.1219999999999999
42,0.87,1.58,1.68,0.42,0.32,0,0,0,0,0,0,49,0.39,1.26,0,0,7,8.462,0.58,0.68,1.4619999999999997
43,0.94,1.48,1.89,0.52,0.11,0,0,0,0,0,0,121,0.43,1.37,0,0,11,12.466,0.48,0.89,1.4659999999999993
44,0.9,1.64,1.72,0.36,0.28,0,0,0,0,0,0,324,0.46,1.36,0,0,18,19.502,0.64,0.72,1.501999999999999
45,0.5,1.1,1.44,0.9,0.56,0,0,0,0,0,0,9,0.04,0.54,0,0,3,4.114,0.1,0.44,1.1139999999999999
46,0.82,1.73,1.32,0.27,0.68,0,0,0,0,0,0,4,0.23,1.05,0,0,2,3.282,0.73,0.32,1.282
47,0.53,1.36,1.26,0.64,0.74,0,0,0,0,0,0,121,0.09,0.62,0,0,11,12.194,0.36,0.26,1.1940000000000008
48,0.98,1.88,1.83,0.12,0.17,0,0,0,0,0,0,4,0.73,1.71,0,0,2,3.756,0.88,0.83,1.7559999999999998
49,0.75,1.61,1.35,0.39,0.65,0,0,0,0,0,0,25,0.21,0.96,0,0,5,6.27,0.61,0.35,1.2699999999999996
50,0.95,1.94,1.14,0.06,0.86,0,0,0,0,0,0,64,0.13,1.08,0,0,8,9.128,0.94,0.14,1.1280000000000001
51,0.86,1.71,1.52,0.29,0.48,0,0,0,0,0,0,81,0.37,1.23,0,0,9,10.44,0.71,0.52,1.4399999999999995
52,0.24,1.1,1.16,0.9,0.84,0,0,0,0,0,0,100,0.02,0.26,0,0,10,11.062,0.1,0.16,1.0619999999999994
53,0.89,1.79,1.49,0.21,0.51,0,0,0,0,0,0,256,0.39,1.28,0,0,16,17.484,0.79,0.49,1.4840000000000018
54,0.69,1.18,1.62,0.82,0.38,0,0,0,0,0,0,0,0.11,0.8,0,0,0,1.158,0.18,0.62,1.158
55,0.93,1.8,1.64,0.2,0.36,0,0,0,0,0,0,144,0.51,1.44,0,0,12,13.542,0.8,0.64,1.5419999999999998
56,0.49,1.34,1.22,0.66,0.78,0,0,0,0,0,0,4,0.07,0.56,0,0,2,3.182,0.34,0.22,1.182
57,0.74,1.52,1.45,0.48,0.55,0,0,0,0,0,0,196,0.23,0.97,0,0,14,15.302,0.52,0.45,1.3019999999999996
58,0.69,1.5,1.37,0.5,0.63,0,0,0,0,0,0,121,0.18,0.87,0,0,11,12.272,0.5,0.37,1.2720000000000002
59,0.9,1.39,1.84,0.61,0.16,0,0,0,0,0,0,49,0.33,1.23,0,0,7,8.374,0.39,0.84,1.3740000000000006
60,0.99,1.89,1.93,0.11,0.07,0,0,0,0,0,0,81,0.83,1.82,0,0,9,10.818,0.89,0.93,1.8179999999999996
61,0.61,1.5,1.22,0.5,0.78,0,0,0,0,0,0,196,0.11,0.72,0,0,14,15.172,0.5,0.22,1.1720000000000006
62,0.74,1.63,1.3,0.37,0.7,0,0,0,0,0,0,36,0.19,0.93,0,0,6,7.278,0.63,0.3,1.2779999999999996
63,0.41,1.26,1.2,0.74,0.8,0,0,0,0,0,0,25,0.05,0.46,0,0,5,6.1,0.26,0.2,1.0999999999999996
64,0.67,1.57,1.23,0.43,0.77,0,0,0,0,0,0,36,0.13,0.8,0,0,6,7.182,0.57,0.23,1.1820000000000004
65,0.95,1.93,1.3,0.07,0.7,0,0,0,0,0,0,49,0.28,1.23,0,0,7,8.302,0.93,0.3,1.3019999999999996
66,0.15,1.06,1.1,0.94,0.9,0,0,0,0,0,0,225,0.01,0.16,0,0,15,16.034,0.06,0.1,1.033999999999999
67,0.44,1.32,1.18,0.68,0.82,0,0,0,0,0,0,196,0.06,0.5,0,0,14,15.13,0.32,0.18,1.1300000000000008
68,0.84,1.22,1.8,0.78,0.2,0,0,0,0,0,0,4,0.18,1.02,0,0,2,3.196,0.22,0.8,1.1960000000000002
69,0.93,1.19,1.91,0.81,0.09,0,0,0,0,0,0,256,0.17,1.1,0,0,16,17.212,0.19,0.91,1.2119999999999997
70,0.51,1.33,1.27,0.67,0.73,0,0,0,0,0,0,169,0.09,0.6,0,0,13,14.2,0.33,0.27,1.1999999999999993
71,0.93,1.64,1.81,0.36,0.19,0,0,0,0,0,0,25,0.52,1.45,0,0,5,6.574,0.64,0.81,1.5739999999999998
72,0.99,1.89,1.91,0.11,0.09,0,0,0,0,0,0,100,0.81,1.8,0,0,10,11.776,0.89,0.91,1.7759999999999998
73,0.91,1.82,1.52,0.18,0.48,0,0,0,0,0,0,64,0.43,1.34,0,0,8,9.47,0.82,0.52,1.4700000000000006
74,0.68,1.16,1.62,0.84,0.38,0,0,0,0,0,0,100,0.1,0.78,0,0,10,11.12,0.16,0.62,1.1199999999999992
75,0.46,1.15,1.37,0.85,0.63,0,0,0,0,0,0,400,0.06,0.52,0,0,20,21.112,0.15,0.37,1.1119999999999983
76,0.64,1.49,1.3,0.51,0.7,0,0,0,0,0,0,196,0.15,0.79,0,0,14,15.25,0.49,0.3,1.25
77,0.76,1.45,1.57,0.55,0.43,0,0,0,0,0,0,169,0.26,1.02,0,0,13,14.334,0.45,0.57,1.3339999999999996
78,0.84,1.76,1.33,0.24,0.67,0,0,0,0,0,0,16,0.25,1.09,0,0,4,5.298,0.76,0.33,1.298
79,0.97,1.42,1.95,0.58,0.05,0,0,0,0,0,0,4,0.4,1.37,0,0,2,3.376,0.42,0.95,1.376
80,0.75,1.71,1.15,0.29,0.85,0,0,0,0,0,0,289,0.11,0.86,0,0,17,18.142,0.71,0.15,1.1419999999999995
81,0.91,1.33,1.87,0.67,0.13,0,0,0,0,0,0,0,0.29,1.2,0,0,0,1.298,0.33,0.87,1.298
82,0.95,1.56,1.89,0.44,0.11,0,0,0,0,0,0,196,0.5,1.45,0,0,14,15.516,0.56,0.89,1.516
83,0.82,1.74,1.3,0.26,0.7,0,0,0,0,0,0,361,0.22,1.04,0,0,19,20.294,0.74,0.3,1.2940000000000005
84,0.85,1.65,1.57,0.35,0.43,0,0,0,0,0,0,36,0.37,1.22,0,0,6,7.458,0.65,0.57,1.4580000000000002
85,0.81,1.79,1.09,0.21,0.91,0,0,0,0,0,0,64,0.07,0.88,0,0,8,9.104,0.79,0.09,1.1039999999999992
86,0.77,1.29,1.67,0.71,0.33,0,0,0,0,0,0,49,0.19,0.96,0,0,7,8.254,0.29,0.67,1.2539999999999996
87,0.79,1.08,1.77,0.92,0.23,0,0,0,0,0,0,324,0.06,0.85,0,0,18,19.086,0.08,0.77,1.0859999999999985
88,0.91,1.76,1.61,0.24,0.39,0,0,0,0,0,0,4,0.46,1.37,0,0,2,3.484,0.76,0.61,1.484
89,0.57,1.47,1.19,0.53,0.81,0,0,0,0,0,0,16,0.09,0.66,0,0,4,5.146,0.47,0.19,1.146
90,0.9,1.47,1.82,0.53,0.18,0,0,0,0,0,0,400,0.39,1.29,0,0,20,21.438,0.47,0.82,1.4379999999999988
91,0.99,1.91,1.89,0.09,0.11,0,0,0,0,0,0,64,0.81,1.8,0,0,8,9.81,0.91,0.89,1.8100000000000005
92,0.95,1.23,1.94,0.77,0.06,0,0,0,0,0,0,256,0.22,1.17,0,0,16,17.224,0.23,0.94,1.2240000000000002
93,0.95,1.75,1.79,0.25,0.21,0,0,0,0,0,0,121,0.59,1.54,0,0,11,12.652,0.75,0.79,1.6519999999999992
94,0.63,1.39,1.39,0.61,0.61,0,0,0,0,0,0,1,0.15,0.78,0,0,1,2.246,0.39,0.39,1.246
95,0.62,1.53,1.2,0.47,0.8,0,0,0,0,0,0,196,0.11,0.73,0,0,14,15.206,0.53,0.2,1.2059999999999995
96,0.81,1.58,1.55,0.42,0.45,0,0,0,0,0,0,400,0.32,1.13,0,0,20,21.442,0.58,0.55,1.4420000000000002
97,0.87,1.84,1.21,0.16,0.79,0,0,0,0,0,0,16,0.18,1.05,0,0,4,5.22,0.84,0.21,1.2199999999999998
98,0.58,1.53,1.11,0.47,0.89,0,0,0,0,0,0,400,0.06,0.64,0,0,20,21.092,0.53,0.11,1.0919999999999987
99,0.97,1.81,1.84,0.19,0.16,0,0,0,0,0,0,0,0.68,1.65,0,0,0,1.708,0.81,0.84,1.708
100,0.58,1.29,1.41,0.71,0.59,0,0,0,0,0,0,121,0.12,0.7,0,0,11,12.236,0.29,0.41,1.2360000000000007
101,0.87,1.6,1.68,0.4,0.32,0,0,0,0,0,0,81,0.41,1.28,0,0,9,10.496,0.6,0.68,1.4960000000000004
102,0.77,1.13,1.74,0.87,0.26,0,0,0,0,0,0,256,0.1,0.87,0,0,16,17.144,0.13,0.74,1.1439999999999984
103,0.98,1.87,1.83,0.13,0.17,0,0,0,0,0,0,1,0.72,1.7,0,0,1,2.692,0.87,0.83,1.6920000000000002
104,0.9,1.82,1.47,0.18,0.53,0,0,0,0,0,0,324,0.39,1.29,0,0,18,19.422,0.82,0.47,1.4220000000000006
105,0.3,1.24,1.08,0.76,0.92,0,0,0,0,0,0,4,0.02,0.32,0,0,2,3.06,0.24,0.08,1.06
106,0.95,1.82,1.73,0.18,0.27,0,0,0,0,0,0,289,0.6,1.55,0,0,17,18.622,0.82,0.73,1.6219999999999999
107,0.76,1.29,1.66,0.71,0.34,0,0,0,0,0,0,1,0.19,0.95,0,0,1,2.24,0.29,0.66,1.2400000000000002
108,0.96,1.86,1.71,0.14,0.29,0,0,0,0,0,0,121,0.61,1.57,0,0,11,12.61,0.86,0.71,1.6099999999999994
109,0.54,1.35,1.29,0.65,0.71,0,0,0,0,0,0,289,0.1,0.64,0,0,17,18.176,0.35,0.29,1.1759999999999984
110,0.96,1.95,1.24,0.05,0.76,0,0,0,0,0,0,16,0.23,1.19,0,0,4,5.224,0.95,0.24,1.2240000000000002
111,0.52,1.46,1.11,0.54,0.89,0,0,0,0,0,0,225,0.05,0.57,0,0,15,16.092,0.46,0.11,1.0919999999999987
112,0.81,1.77,1.18,0.23,0.82,0,0,0,0,0,0,4,0.14,0.95,0,0,2,3.158,0.77,0.18,1.158
113,0.87,1.81,1.29,0.19,0.71,0,0,0,0,0,0,225,0.23,1.1,0,0,15,16.314,0.81,0.29,1.314
114,0.7,1.65,1.13,0.35,0.87,0,0,0,0,0,0,49,0.08,0.78,0,0,7,8.132,0.65,0.13,1.1319999999999997
115,0.8,1.79,1.05,0.21,0.95,0,0,0,0,0,0,16,0.04,0.84,0,0,4,5.048,0.79,0.05,1.048
116,0.91,1.07,1.9,0.93,0.1,0,0,0,0,0,0,25,0.06,0.97,0,0,5,6.078,0.07,0.9,1.0780000000000003
117,0.46,1.15,1.37,0.85,0.63,0,0,0,0,0,0,400,0.06,0.52,0,0,20,21.118,0.15,0.37,1.1179999999999986
118,0.27,1.18,1.11,0.82,0.89,0,0,0,0,0,0,196,0.02,0.29,0,0,14,15.084,0.18,0.11,1.0839999999999996
119,0.69,1.23,1.6,0.77,0.4,0,0,0,0,0,0,64,0.14,0.83,0,0,8,9.218,0.23,0.6,1.218
120,0.94,1.9,1.37,0.1,0.63,0,0,0,0,0,0,16,0.33,1.27,0,0,4,5.354,0.9,0.37,1.354
121,0.79,1.64,1.42,0.36,0.58,0,0,0,0,0,0,196,0.27,1.06,0,0,14,15.34,0.64,0.42,1.3399999999999999
122,0.54,1.21,1.42,0.79,0.58,0,0,0,0,0,0,256,0.09,0.63,0,0,16,17.156,0.21,0.42,1.1559999999999988
123,0.94,1.78,1.73,0.22,0.27,0,0,0,0,0,0,49,0.57,1.51,0,0,7,8.618,0.78,0.73,1.6180000000000003
124,0.97,1.62,1.91,0.38,0.09,0,0,0,0,0,0,9,0.56,1.53,0,0,3,4.598,0.62,0.91,1.5979999999999999
125,0.33,1.25,1.11,0.75,0.89,0,0,0,0,0,0,49,0.03,0.36,0,0,7,8.094,0.25,0.11,1.0939999999999994
126,0.51,1.44,1.12,0.56,0.88,0,0,0,0,0,0,25,0.05,0.56,0,0,5,6.12,0.44,0.12,1.12
